GEOID,district
29001950100,8
29001950200,8
29001950300,8
29001950400,8
29001950501,8
29001950502,8
29001950900,8
29001951000,8
29003010100,8
29003010201,8
29003010202,8
29003010300,8
29003010400,8
29005950100,8
29005950200,8
29007950100,7
29007950200,7
29007950300,7
29007950400,7
29007950500,7
29007950600,7
29007950700,7
29009960101,1
29009960102,1
29009960201,1
29009960202,1
29009960301,1
29009960302,1
29009960401,1
29009960402,1
29009960500,1
29009960600,1
29011960100,1
29011960200,1
29011960300,1
29013070100,5
29013070200,5
29013070300,5
29013070400,5
29015460100,5
29015460200,5
29015460300,5
29015460400,5
29015460701,5
29015460702,5
29015460801,5
29015460802,5
29017950100,4
29017950200,4
29017950300,4
29019000200,5
29019000300,5
29019000500,5
29019000600,5
29019000700,5
29019000900,5
29019001001,5
29019001003,5
29019001004,5
29019001105,5
29019001106,5
29019001107,5
29019001108,5
29019001109,5
29019001110,5
29019001201,5
29019001202,5
29019001300,5
29019001401,5
29019001402,5
29019001503,5
29019001505,5
29019001506,5
29019001507,5
29019001508,5
29019001602,5
29019001603,5
29019001604,5
29019001702,5
29019001703,5
29019001704,5
29019001803,5
29019001806,5
29019001807,5
29019001901,5
29019001903,5
29019001904,5
29019002000,5
29019002100,5
29019002200,5
29021000100,8
29021000200,8
29021000300,8
29021000400,8
29021000500,8
29021000600,8
29021000701,8
29021000702,8
29021000900,8
29021001000,8
29021001100,8
29021001200,8
29021001500,8
29021001600,8
29021001700,8
29021001800,8
29021002100,8
29021002200,8
29021002300,8
29021002400,8
29021002500,8
29021002700,8
29021002800,8
29021002900,8
29021003001,8
29021003002,8
29023950101,4
29023950102,4
29023950201,4
29023950202,4
29023950301,4
29023950302,4
29023950400,4
29023950500,4
29023950600,4
29023950700,4
29023950800,4
29023950900,4
29025950100,8
29025950201,8
29025950202,8
29027070100,7
29027070200,7
29027070301,7
29027070302,7
29027070400,7
29027070500,7
29027070601,7
29027070602,7
29027070701,7
29027070702,7
29027070800,7
29029950101,5
29029950102,5
29029950201,5
29029950202,5
29029950301,5
29029950302,5
29029950401,5
29029950402,5
29029950500,5
29029950600,5
29029950701,5
29029950702,5
29029950801,5
29029950802,5
29029950900,5
29029951101,5
29029951102,5
29029951201,5
29029951202,5
29031880100,4
29031880200,4
29031880300,4
29031880401,4
29031880402,4
29031880501,4
29031880502,4
29031880600,4
29031880700,4
29031880800,4
29031880900,4
29031881000,4
29031881100,4
29031881200,4
29031881301,4
29031881302,4
29031881400,4
29031881500,4
29031881600,4
29033960100,5
29033960200,5
29033960300,5
29035960100,4
29035960200,4
29037060001,2
29037060003,2
29037060004,2
29037060100,2
29037060202,2
29037060305,2
29037060306,2
29037060307,2
29037060308,2
29037060309,2
29037060401,2
29037060402,2
29037060500,2
29037060601,2
29037060602,2
29037060700,2
29037060800,2
29037060904,2
29037061001,2
29037061002,2
29037061100,2
29037061200,2
29037061300,2
29037061400,2
29039870101,5
29039870102,5
29039870200,5
29039870300,5
29041470100,5
29041470200,5
29041470300,5
29043020101,1
29043020102,1
29043020201,1
29043020202,1
29043020204,1
29043020205,1
29043020206,1
29043020207,1
29043020302,1
29043020303,1
29043020304,1
29043020307,1
29043020308,1
29043020309,1
