GEOID,district
29001950100,8
29001950200,8
29001950300,8
29001950400,8
29001950501,8
29001950502,8
29001950900,8
29001951000,8
29003010100,5
29003010201,5
29003010202,5
29003010300,5
29003010400,5
29005950100,5
29005950200,5
29007950100,8
29007950200,8
29007950300,8
29007950400,8
29007950500,8
29007950600,8
29007950700,8
29009960101,2
29009960102,2
29009960201,2
29009960202,2
29009960301,2
29009960302,2
29009960401,2
29009960402,2
29009960500,2
29009960600,2
29011960100,2
29011960200,2
29011960300,2
29013070100,7
29013070200,7
29013070300,7
29013070400,7
29015460100,8
29015460200,8
29015460300,8
29015460400,8
29015460701,8
29015460702,8
29015460801,8
29015460802,8
29017950100,1
29017950200,1
29017950300,1
29019000200,8
29019000300,8
29019000500,8
29019000600,8
29019000700,8
29019000900,8
29019001001,8
29019001003,8
29019001004,8
29019001105,8
29019001106,8
29019001107,8
29019001108,8
29019001109,8
29019001110,8
29019001201,8
29019001202,8
29019001300,8
29019001401,8
29019001402,8
29019001503,8
29019001505,8
29019001506,8
29019001507,8
29019001508,8
29019001602,8
29019001603,8
29019001604,8
29019001702,8
29019001703,8
29019001704,8
29019001803,8
29019001806,8
29019001807,8
29019001901,8
29019001903,8
29019001904,8
29019002000,8
29019002100,8
29019002200,8
29021000100,5
29021000200,5
29021000300,5
29021000400,5
29021000500,5
29021000600,5
29021000701,5
29021000702,5
29021000900,5
29021001000,5
29021001100,5
29021001200,5
29021001500,5
29021001600,5
29021001700,5
29021001800,5
29021002100,5
29021002200,5
29021002300,5
29021002400,5
29021002500,5
29021002700,5
29021002800,5
29021002900,5
29021003001,5
29021003002,5
29023950101,1
29023950102,1
29023950201,1
29023950202,1
29023950301,1
29023950302,1
29023950400,1
29023950500,1
29023950600,1
29023950700,1
29023950800,1
29023950900,1
29025950100,5
29025950201,5
29025950202,5
29027070100,4
29027070200,4
29027070301,4
29027070302,4
29027070400,4
29027070500,4
29027070601,4
29027070602,4
29027070701,4
29027070702,4
29027070800,4
29029950101,7
29029950102,7
29029950201,7
29029950202,7
29029950301,7
29029950302,7
29029950401,7
29029950402,7
29029950500,7
29029950600,7
29029950701,7
29029950702,7
29029950801,7
29029950802,7
29029950900,7
29029951101,7
29029951102,7
29029951201,7
29029951202,7
29031880100,1
29031880200,1
29031880300,1
29031880401,1
29031880402,1
29031880501,1
29031880502,1
29031880600,1
29031880700,1
29031880800,1
29031880900,1
29031881000,1
29031881100,1
29031881200,1
29031881301,1
29031881302,1
29031881400,1
29031881500,1
29031881600,1
29033960100,8
29033960200,8
29033960300,8
29035960100,1
29035960200,1
29037060001,7
29037060003,7
29037060004,7
29037060100,7
29037060202,7
29037060305,7
29037060306,7
29037060307,7
29037060308,7
29037060309,7
29037060401,7
29037060402,7
29037060500,7
29037060601,7
29037060602,7
29037060700,7
29037060800,7
29037060904,7
29037061001,7
29037061002,7
29037061100,7
29037061200,7
29037061300,7
29037061400,7
29039870101,7
29039870102,7
29039870200,7
29039870300,7
29041470100,8
29041470200,8
29041470300,8
29043020101,2
29043020102,2
29043020201,2
29043020202,2
29043020204,2
29043020205,2
29043020206,2
29043020207,2
29043020302,2
29043020303,2
29043020304,2
29043020307,2
29043020308,2
29043020309,2
