GEOID,district
29001950100,3
29001950200,3
29001950300,3
29001950400,3
29001950501,3
29001950502,3
29001950900,3
29001951000,3
29003010100,3
29003010201,3
29003010202,3
29003010300,3
29003010400,3
29005950100,3
29005950200,3
29007950100,3
29007950200,3
29007950300,3
29007950400,3
29007950500,3
29007950600,3
29007950700,3
29009960101,2
29009960102,2
29009960201,2
29009960202,2
29009960301,2
29009960302,2
29009960401,2
29009960402,2
29009960500,2
29009960600,2
29011960100,2
29011960200,2
29011960300,2
29013070100,7
29013070200,7
29013070300,7
29013070400,7
29015460100,7
29015460200,7
29015460300,7
29015460400,7
29015460701,7
29015460702,7
29015460801,7
29015460802,7
29017950100,4
29017950200,4
29017950300,4
29019000200,3
29019000300,3
29019000500,3
29019000600,3
29019000700,3
29019000900,3
29019001001,3
29019001003,3
29019001004,3
29019001105,3
29019001106,3
29019001107,3
29019001108,3
29019001109,3
29019001110,3
29019001201,3
29019001202,3
29019001300,3
29019001401,3
29019001402,3
29019001503,3
29019001505,3
29019001506,3
29019001507,3
29019001508,3
29019001602,3
29019001603,3
29019001604,3
29019001702,3
29019001703,3
29019001704,3
29019001803,3
29019001806,3
29019001807,3
29019001901,3
29019001903,3
29019001904,3
29019002000,3
29019002100,3
29019002200,3
29021000100,1
29021000200,1
29021000300,1
29021000400,1
29021000500,1
29021000600,1
29021000701,1
29021000702,1
29021000900,1
29021001000,1
29021001100,1
29021001200,1
29021001500,1
29021001600,1
29021001700,1
29021001800,1
29021002100,1
29021002200,1
29021002300,1
29021002400,1
29021002500,1
29021002700,1
29021002800,1
29021002900,1
29021003001,1
29021003002,1
29023950101,4
29023950102,4
29023950201,4
29023950202,4
29023950301,4
29023950302,4
29023950400,4
29023950500,4
29023950600,4
29023950700,4
29023950800,4
29023950900,4
29025950100,3
29025950201,3
29025950202,3
29027070100,3
29027070200,3
29027070301,3
29027070302,3
29027070400,3
29027070500,3
29027070601,3
29027070602,3
29027070701,3
29027070702,3
29027070800,3
29029950101,7
29029950102,7
29029950201,7
29029950202,7
29029950301,7
29029950302,7
29029950401,7
29029950402,7
29029950500,7
29029950600,7
29029950701,7
29029950702,7
29029950801,7
29029950802,7
29029950900,7
29029951101,7
29029951102,7
29029951201,7
29029951202,7
29031880100,4
29031880200,4
29031880300,4
29031880401,4
29031880402,4
29031880501,4
29031880502,4
29031880600,4
29031880700,4
29031880800,4
29031880900,4
29031881000,4
29031881100,4
29031881200,4
29031881301,4
29031881302,4
29031881400,4
29031881500,4
29031881600,4
29033960100,3
29033960200,3
29033960300,3
29035960100,4
29035960200,4
29037060001,7
29037060003,7
29037060004,7
29037060100,7
29037060202,7
29037060305,7
29037060306,7
29037060307,7
29037060308,7
29037060309,7
29037060401,7
29037060402,7
29037060500,7
29037060601,7
29037060602,7
29037060700,7
29037060800,7
29037060904,7
29037061001,7
29037061002,7
29037061100,7
29037061200,7
29037061300,7
29037061400,7
29039870101,7
29039870102,7
29039870200,7
29039870300,7
29041470100,3
29041470200,3
29041470300,3
29043020101,2
29043020102,2
29043020201,2
29043020202,2
29043020204,2
29043020205,2
29043020206,2
29043020207,2
29043020302,2
29043020303,2
29043020304,2
29043020307,2
29043020308,2
29043020309,2
29043020310,2
29043020401,2
29043020402,2
29043020501,2
29043020502,2
29045950100,3
29045950200,3
29045950300,3
29047020201,1
29047020202,1
29047020300,1
29047020400,1
29047020500,1
29047020602,1
29047020603,1
29047020604,1
29047020802,1
29047020803,1
29047020901,1
29047020902,1
29047021001,1
29047021003,1
29047021004,1
29047021101,1
29047021103,1
29047021104,1
29047021105,1
29047021204,1
29047021208,1
29047021209,1
29047021210,1
29047021211,1
29047021212,1
29047021213,1
29047021214,1
29047021303,1
29047021307,1
29047021309,1
29047021311,1
29047021312,1
29047021313,1
29047021314,1
29047021401,1
29047021403,1
29047021404,1
29047021601,1
29047021602,1
29047021701,1
29047021703,1
29047021704,1
29047021806,1
29047021807,1
29047021808,1
29047021809,1
29047021810,1
29047021811,1
29047021812,1
29047021900,1
29047022000,1
29047022100,1
29047022200,1
29047022301,1
29047022302,1
29049960100,3
29049960201,3
29049960202,3
29049960300,3
29049960400,3
29051010300,3
29051010401,3
29051010402,3
29051010500,3
29051010600,3
29051010701,3
29051010702,3
29051010801,3
29051010802,3
29051010901,3
29051010902,3
29051020198,3
29051020200,3
29051020300,3
29051020400,3
29051020500,3
29051020600,3
29051020700,3
29053950100,3
29053950200,3
29053950300,3
29053950400,3
29053950500,3
29055450101,4
29055450103,4
29055450104,4
29055450200,4
29055450301,4
29055450302,4
29055450401,4
29055450402,4
29057480100,2
29057480200,2
29059480100,2
29059480200,2
29059480301,2
29059480302,2
29061470100,3
29061470200,3
29063080101,3
29063080102,3
29063080200,3
29065960100,4
29065960200,4
29065960300,4
29065960400,4
29067950100,4
29067950200,4
29067950500,4
29069360100,4
29069360200,4
29069360300,4
29069360400,4
29069360500,4
29069360600,4
29069360700,4
29069360800,4
29069360900,4
29069361000,4
29071800101,5
29071800102,5
29071800103,5
29071800104,5
29071800201,5
29071800202,5
29071800301,5
29071800302,5
29071800401,5
29071800403,5
29071800404,5
29071800501,5
29071800502,5
29071800603,5
29071800604,5
29071800605,5
29071800606,5
29071800702,5
29071800703,5
29071800704,5
29071800801,5
29071800802,5
29071800901,5
29071800903,5
29071800904,5
29071801000,5
29071801101,5
29071801102,5
29073960100,5
29073960200,5
29073960300,5
29073960400,5
29073960500,5
29075960100,3
29075960200,3
29077000101,2
29077000102,2
29077000200,2
29077000300,2
29077000400,2
29077000501,2
29077000502,2
29077000600,2
29077000700,2
29077000800,2
29077000900,2
