GEOID,district
29001950100,19
29001950200,19
29001950300,19
29001950400,19
29001950501,19
29001950502,19
29001950900,19
29001951000,19
29003010100,21
29003010201,21
29003010202,21
29003010300,21
29003010400,21
29005950100,21
29005950200,21
29007950100,19
29007950200,19
29007950300,19
29007950400,19
29007950500,19
29007950600,19
29007950700,19
29009960101,20
29009960102,20
29009960201,20
29009960202,20
29009960301,20
29009960302,20
29009960401,20
29009960402,20
29009960500,20
29009960600,20
29011960100,12
29011960200,12
29011960300,12
29013070100,12
29013070200,12
29013070300,12
29013070400,12
29015460100,29
29015460200,29
29015460300,29
29015460400,29
29015460701,29
29015460702,29
29015460801,29
29015460802,29
29017950100,27
29017950200,27
29017950300,27
29019000200,11
29019000300,11
29019000500,11
29019000600,11
29019000700,11
29019000900,11
29019001001,11
29019001003,11
29019001004,11
29019001105,11
29019001106,11
29019001107,11
29019001108,11
29019001109,11
29019001110,11
29019001201,11
29019001202,11
29019001300,11
29019001401,11
29019001402,11
29019001503,11
29019001505,11
29019001506,11
29019001507,11
29019001508,11
29019001602,11
29019001603,11
29019001604,11
29019001702,11
29019001703,11
29019001704,11
29019001803,11
29019001806,11
29019001807,11
29019001901,11
29019001903,11
29019001904,11
29019002000,11
29019002100,11
29019002200,11
29021000100,21
29021000200,21
29021000300,21
29021000400,21
29021000500,21
29021000600,21
29021000701,21
29021000702,21
29021000900,21
29021001000,21
29021001100,21
29021001200,21
29021001500,21
29021001600,21
29021001700,21
29021001800,21
29021002100,21
29021002200,21
29021002300,21
29021002400,21
29021002500,21
29021002700,21
29021002800,21
29021002900,21
29021003001,21
29021003002,21
29023950101,30
29023950102,30
29023950201,30
29023950202,30
29023950301,30
29023950302,30
29023950400,30
29023950500,30
29023950600,30
29023950700,30
29023950800,30
29023950900,30
29025950100,9
29025950201,9
29025950202,9
29027070100,16
29027070200,16
29027070301,16
29027070302,16
29027070400,16
29027070500,16
29027070601,16
29027070602,16
29027070701,16
29027070702,16
29027070800,16
29029950101,2
29029950102,2
29029950201,2
29029950202,2
29029950301,2
29029950302,2
29029950401,2
29029950402,2
29029950500,2
29029950600,2
29029950701,2
29029950702,2
29029950801,2
29029950802,2
29029950900,2
29029951101,2
