GEOID20,district
29001,5
29003,1
29005950100,1
29005950200,1
29007,5
29009,6
29011,4
29013,4
29015,6
29017,8
29019,5
29021,1
29023,8
29025950100,1
29025950201,1
29025950202,1
29027,7
29029,6
29031,8
29033960100,5
29033960200,5
29033960300,5
29035960100,8
29035960200,8
29037,4
29039,4
29041470100,5
29041470200,5
29041470300,5
29043,6
29045950100,5
29045950200,5
29045950300,5
29047020201,1
29047020202,1
29047020300,1
29047020400,1
29047020500,1
29047020602,1
29047020603,1
29047020604,1
29047020802,1
29047020803,1
29047020901,1
29047020902,1
29047021001,1
29047021003,1
29047021004,1
29047021101,1
29047021103,1
29047021104,1
29047021105,1
29047021204,1
29047021208,1
29047021209,1
29047021210,1
29047021211,1
29047021212,1
29047021213,1
29047021214,1
29047021303,1
29047021307,1
29047021309,1
29047021311,1
29047021312,1
29047021313,1
29047021314,1
29047021401,1
29047021403,1
29047021404,1
29047021601,1
29047021602,1
29047021701,1
29047021703,1
29047021704,1
29047021806,1
29047021807,1
29047021808,1
29047021809,1
29047021810,1
29047021811,1
29047021812,1
29047021900,1
29047022000,1
29047022100,1
29047022200,1
29047022301,1
29047022302,1
29049,1
29051,7
29053,7
29055,8
29057480100,4
29057480200,4
29059,6
29061470100,1
29061470200,1
29063,1
29065,8
29067,6
29069,8
29071,7
29073,7
29075960100,1
29075960200,1
29077,6
29079960100,1
29079960200,1
29079960300,1
29079960400,1
29081950100,1
29081950200,1
29081950300,1
29083,4
29085470100,6
29085470300,6
29085470501,6
29085470502,6
29087960100,1
29087960200,1
29087960300,1
29089,7
29091,8
29093950100,8
29093950200,8
29093950300,8
29093950400,8
29095000300,1
29095000600,4
29095000700,1
29095000800,4
29095000900,1
29095001000,1
29095001100,4
29095001800,1
29095001900,4
29095002000,1
29095002100,4
29095002200,4
29095002300,4
29095003400,4
29095003700,4
29095003800,4
29095004300,4
29095004400,4
29095004600,4
29095005100,4
29095005200,4
29095005300,4
29095005400,4
29095005500,4
29095005601,4
29095005602,4
29095005700,4
29095005801,4
29095006000,4
29095006100,4
29095006300,4
29095006500,4
29095006600,4
29095006700,4
29095006900,4
29095007100,4
29095007200,4
29095007301,4
29095007302,4
29095007400,4
29095007500,4
29095007600,4
29095007700,4
29095007802,4
29095007900,4
29095008000,4
29095008100,4
29095008200,4
29095008300,4
29095008400,4
29095008500,4
29095008600,4
29095008700,4
29095008800,4
29095008900,4
29095009000,4
29095009100,4
29095009200,4
29095009300,4
29095009400,4
29095009500,4
29095009600,4
29095009700,4
29095009800,4
29095009900,4
29095010001,4
29095010002,4
29095010103,4
29095010105,4
29095010201,4
29095010203,4
29095010204,4
29095010500,4
29095010600,1
29095010702,1
29095011001,1
29095011002,1
29095011100,1
29095011200,1
29095011300,1
29095011405,1
29095011406,1
29095011407,5
29095011408,1
29095011409,1
29095011410,1
29095011501,1
29095011502,1
29095011601,1
29095011602,1
29095011701,1
29095011702,1
29095011800,1
29095011900,1
29095012000,1
29095012100,1
29095012200,1
29095012300,1
29095012400,1
29095012501,1
29095012502,1
29095012600,4
29095012702,4
29095012703,4
29095012802,5
29095012803,4
29095012804,4
29095012903,4
29095012904,4
29095012906,5
29095013003,5
29095013100,5
29095013203,5
29095013208,5
29095013210,5
29095013301,4
29095013307,5
29095013309,5
29095013313,5
29095013401,4
29095013405,4
29095013407,4
29095013410,4
29095013416,5
29095013417,4
29095013418,4
29095013502,4
29095013504,5
29095013606,5
29095013612,5
29095013613,5
29095013614,5
29095013615,5
29095013705,5
29095013706,5
29095013707,5
29095013708,5
29095013801,5
29095013803,5
29095013804,5
29095013902,4
29095013904,5
29095013916,5
29095013917,4
29095013918,4
