GEOID20,DISTRICT
290019501001,4
290019501002,4
290019501003,4
290019502001,3
290019502002,3
290019502003,3
290019503001,3
290019503002,3
290019503003,3
290019503004,3
290019504001,4
290019504002,3
290019504003,3
290019505011,3
290019505012,3
290019505013,3
290019505021,3
290019505022,3
290019505023,4
290019509001,3
290019509002,3
290019509003,3
290019510001,3
290030101001,9
290030101002,9
290030101003,9
290030101004,9
290030102011,9
290030102012,9
290030102013,9
290030102021,9
290030102022,9
290030103001,9
290030103002,9
290030104001,9
290030104002,9
290030104003,9
290059501001,1
290059501002,1
290059501003,1
290059501004,1
290059502001,1
290059502002,1
290059502003,1
290079501001,43
290079501002,43
290079501003,43
290079502001,43
290079502002,43
290079502003,43
290079502004,43
290079502005,43
290079503001,43
290079503002,43
290079503003,43
290079504001,43
290079504002,43
290079504003,43
290079505001,43
290079505002,43
290079505003,43
290079505004,43
290079506001,43
290079506002,43
290079507001,43
290079507002,43
290079507003,43
290079507004,43
290099601011,158
290099601012,158
290099601021,158
290099601022,158
290099601023,158
290099602011,158
290099602012,158
290099602021,158
290099602022,158
290099603011,158
290099603012,158
290099603013,158
290099603014,158
290099603021,158
290099603022,158
290099604011,158
290099604012,158
290099604013,158
290099604021,158
290099604022,158
290099604023,158
290099605001,158
290099605002,158
290099605003,158
290099605004,158
290099605005,158
290099606001,158
290099606002,158
290119601001,127
290119601002,127
290119601003,127
290119602001,127
290119602002,127
290119602003,127
290119602004,127
290119603001,127
290119603002,127
290119603003,127
290119603004,127
290119603005,127
290130701001,126
290130701002,126
290130701003,126
290130702001,126
290130702002,126
290130702003,126
290130702004,56
290130703001,126
290130703002,126
290130703003,126
290130703004,126
290130704001,126
290130704002,126
290130704003,126
290154601001,57
290154601002,57
290154601003,57
290154602001,57
290154602002,57
290154603001,125
290154603002,125
290154603003,57
290154603004,57
290154604001,57
290154604002,57
290154604003,57
290154607011,125
290154607012,125
290154607021,125
290154608011,125
290154608012,125
290154608021,125
290154608022,125
290179501001,145
290179501002,145
290179501003,145
290179501004,145
290179502001,145
290179502002,145
290179502003,145
290179502004,145
290179503001,145
290179503002,145
290179503003,145
290190002001,45
290190002002,45
290190003001,45
290190003002,45
290190003003,45
290190005001,45
290190005002,45
290190005003,45
290190006001,45
290190006002,46
290190006003,46
290190006004,46
290190007001,46
290190007002,46
290190007003,46
290190009001,45
290190009002,45
290190010011,50
290190010012,45
290190010013,50
290190010014,50
290190010015,50
290190010031,44
290190010032,44
290190010041,50
290190010042,50
290190010043,50
290190011051,46
290190011052,46
290190011053,46
290190011054,46
290190011061,50
290190011062,46
290190011063,50
290190011064,50
290190011071,46
290190011072,46
290190011073,46
290190011081,46
290190011082,46
290190011083,46
290190011091,46
290190011092,50
290190011093,46
290190011094,46
290190011101,50
290190011102,50
290190011103,50
290190012011,46
290190012012,46
290190012013,47
290190012014,47
290190012021,46
290190012022,46
290190012023,46
290190012024,46
290190013001,47
290190013002,47
290190013003,47
290190014011,45
290190014012,47
290190014013,47
290190014021,47
290190014022,45
290190014023,47
290190014024,47
290190015031,44
290190015032,44
290190015033,45
290190015051,44
290190015052,44
290190015061,44
290190015062,44
290190015071,45
290190015072,45
290190015073,44
290190015081,45
290190015082,45
290190015083,45
290190015084,45
290190016021,44
290190016022,50
290190016023,44
290190016031,44
290190016032,44
290190016033,44
290190016041,44
290190016042,44
290190017021,50
290190017022,50
290190017023,50
290190017031,50
290190017032,50
290190017041,50
290190017042,50
290190018031,47
290190018032,47
290190018033,47
290190018061,47
290190018062,47
290190018063,47
290190018071,47
290190018072,47
290190019011,47
290190019012,47
290190019013,47
290190019031,44
290190019032,44
290190019033,44
290190019041,44
290190019042,44
290190019043,44
290190020001,44
290190020002,44
290190020003,44
290190020004,44
290190021001,45
290190021002,45
290190021003,45
290190022001,45
290190022002,45
290190022003,45
290190022004,45
290210001001,9
290210001002,9
290210001003,9
290210002001,9
290210002002,10
290210002003,10
290210003001,10
290210003002,10
290210004001,10
290210004002,10
290210005001,10
290210005002,10
290210005003,10
290210006001,10
290210006002,10
290210006003,10
290210007011,9
290210007012,9
290210007013,9
290210007014,9
290210007021,9
290210007022,9
290210007023,9
290210009001,10
290210009002,10
290210009003,10
290210009004,10
290210009005,10
290210010001,10
290210010002,10
290210010003,10
290210011001,10
290210011002,10
290210011003,10
290210012001,10
290210012002,10
290210015001,10
290210015002,11
290210015003,11
290210015004,10
290210015005,10
290210016001,11
290210016002,11
290210016003,11
290210017001,11
290210017002,11
290210018001,11
290210018002,11
290210018003,11
290210021001,11
290210021002,11
290210021003,11
290210022001,11
290210023001,11
290210023002,11
290210024001,11
290210024002,11
290210025001,11
290210025002,11
290210025003,11
290210027001,11
290210027002,9
290210028001,11
290210028002,11
290210028003,11
290210028004,11
290210028005,11
290210029001,11
290210029002,11
290210029003,11
290210030011,11
290210030012,10
290210030013,11
290210030021,10
290210030022,10
290239501011,153
290239501012,153
290239501021,153
290239501022,153
290239502011,153
290239502012,153
290239502013,153
290239502014,153
290239502021,152
290239502022,152
290239502023,152
290239502024,152
290239503011,152
290239503012,152
290239503013,152
290239503021,152
290239503022,152
290239503023,152
290239504001,153
290239504002,152
290239504003,152
290239504004,152
290239505001,153
290239505002,153
290239505003,153
290239506001,152
290239506002,153
290239506003,152
290239506004,152
290239507001,152
290239507002,152
290239507003,152
290239508001,152
290239508002,152
290239508003,152
290239509001,152
290239509002,152
290239509003,152
290239509004,152
290259501001,8
290259501002,8
290259501003,8
290259501004,8
290259502011,8
290259502012,8
290259502013,8
290259502021,8
290259502022,8
290259502023,8
290270701001,43
290270701002,43
290270701003,43
290270701004,43
290270702001,43
290270702002,49
290270702003,43
290270702004,43
290270703011,49
290270703012,49
290270703021,49
290270703022,49
290270703023,49
290270704001,49
290270704002,49
290270704003,49
290270704004,49
290270704005,49
290270705001,49
290270705002,43
290270705003,49
290270705004,43
290270706011,49
290270706012,49
290270706021,49
290270706022,49
290270706023,49
290270707011,49
290270707021,49
290270707022,49
290270708001,49
290270708002,49
290270708003,49
290299501011,124
290299501021,124
290299502011,124
290299502012,124
290299502013,124
290299502021,124
290299502022,124
290299502023,124
290299503011,123
290299503012,123
290299503021,124
290299504011,123
290299504021,123
290299504022,123
290299505001,123
290299505002,123
290299505003,123
290299506001,123
290299506002,123
290299506003,123
290299506004,124
290299507011,124
290299507012,124
290299507013,124
290299507014,124
290299507021,124
290299508011,123
290299508012,123
290299508013,123
290299508021,123
290299508022,123
290299508023,123
290299509001,123
290299509002,123
290299511011,124
290299511021,124
290299511022,124
290299512011,124
290299512012,124
290299512021,124
290318801001,146
290318801002,146
290318801003,146
290318801004,146
290318801005,146
290318802001,146
290318802002,146
290318802003,146
290318803001,146
290318803002,146
290318803003,146
290318803004,146
290318804011,146
290318804012,146
290318804013,146
290318804021,146
290318804022,146
290318805011,146
290318805012,146
290318805013,146
290318805021,146
290318805022,146
290318805023,146
290318806001,146
290318806002,147
290318806003,146
290318806004,146
290318806005,146
290318807001,147
290318807002,147
290318807003,147
290318808001,147
290318808002,147
290318808003,147
290318809001,147
290318809002,147
290318810001,147
290318810002,147
290318811001,147
290318811002,147
290318811003,147
290318812001,146
290318812002,147
290318812003,147
290318812004,147
290318812005,147
290318813011,147
290318813012,147
290318813021,147
290318813022,147
290318814001,147
290318814002,147
290318814003,147
290318815001,146
290318815002,147
290318815003,147
290318815004,147
290318816001,147
290318816002,147
290339601001,39
290339601002,39
290339601003,39
290339602001,39
290339602002,39
290339602003,39
290339602004,39
290339603001,39
290339603002,39
290339603003,39
290339603004,39
290359601001,153
290359601002,153
290359601003,153
290359602001,153
290359602002,153
290359602003,153
290370600011,56
290370600012,56
290370600013,56
290370600031,56
290370600032,56
290370600033,56
290370600041,56
290370600042,56
290370600043,56
290370600044,56
290370600045,56
290370601001,56
290370601002,56
290370601003,56
290370602021,56
290370602022,56
290370602023,56
290370602024,56
290370603051,55
290370603052,55
290370603053,55
290370603061,55
290370603062,55
290370603063,56
290370603064,55
290370603065,55
290370603071,37
290370603072,37
290370603073,37
290370603081,55
290370603082,55
290370603091,55
290370603092,37
290370603093,55
290370604011,55
290370604012,55
290370604021,55
290370604022,55
290370605001,33
290370605002,33
290370606011,33
290370606012,33
290370606013,33
290370606021,33
290370606022,33
290370606023,33
290370607001,55
290370607002,55
290370607003,33
290370608001,55
290370608002,33
290370608003,55
290370608004,55
290370609041,33
290370609042,33
290370609043,33
290370610011,55
290370610012,56
290370610013,56
290370610021,55
290370610022,55
290370610023,55
290370610024,55
290370610025,55
290370610026,55
290370611001,56
290370611002,56
290370611003,56
290370611004,56
290370612001,57
290370612002,57
290370612003,57
290370612004,57
290370613001,56
290370613002,56
290370613003,56
290370613004,56
290370613005,56
290370613006,56
290370614001,33
290370614002,33
290370614003,33
290370614004,33
290398701011,128
290398701012,128
290398701021,128
290398701022,128
290398701023,125
290398702001,125
290398702002,125
290398702003,125
290398702004,125
290398702005,125
290398703001,128
290398703002,127
290398703003,128
290398703004,128
290414701001,39
290414701002,39
290414702001,39
290414702002,39
290414702003,39
290414703001,39
290414703002,39
290414703003,39
290414703004,39
290430201011,138
290430201012,138
290430201021,139
290430201022,138
290430201023,139
290430201024,139
290430202011,139
290430202012,139
290430202021,139
290430202022,139
290430202023,139
290430202024,139
290430202041,139
290430202042,139
290430202043,139
290430202051,139
290430202052,139
290430202053,139
290430202061,139
290430202062,139
290430202071,139
290430202072,139
290430203021,140
290430203022,140
290430203023,140
290430203024,140
290430203031,139
290430203032,140
290430203033,140
290430203034,140
290430203041,140
290430203042,140
290430203071,140
290430203072,140
290430203081,140
290430203082,140
290430203091,140
290430203101,140
290430203102,140
290430203103,140
290430203104,140
290430204011,140
290430204012,140
290430204021,140
290430204022,140
290430204023,140
290430205011,139
290430205012,139
290430205013,139
290430205021,140
290430205022,140
290430205023,140
290459501001,4
290459501002,4
290459502001,4
290459502002,4
290459503001,4
290459503002,4
290459503003,4
290470202011,18
290470202012,18
290470202013,18
290470202014,18
290470202015,18
290470202021,18
290470202022,18
290470202023,15
290470202024,18
290470203001,18
290470203002,18
290470203003,18
290470203004,18
290470203005,15
290470204001,18
290470204002,18
290470204003,18
290470205001,18
290470205002,18
290470205003,18
290470205004,18
290470205005,18
290470205006,18
290470205007,18
290470206021,18
290470206022,18
290470206023,17
290470206024,17
290470206025,17
290470206031,17
290470206032,17
290470206033,18
290470206034,17
290470206041,17
290470206042,17
290470206043,17
290470206044,18
290470206045,18
290470208021,17
290470208022,17
290470208031,17
290470208032,17
290470208033,17
290470209011,18
290470209012,18
290470209013,18
290470209014,18
290470209015,18
290470209021,16
290470209022,18
290470210011,15
290470210012,15
290470210013,15
290470210014,15
290470210031,15
290470210032,15
290470210033,15
290470210041,15
290470210042,15
290470210043,15
290470210044,15
290470211011,15
290470211012,15
290470211013,15
290470211014,15
290470211015,15
290470211016,15
290470211031,15
290470211032,15
290470211033,15
290470211034,15
290470211041,15
290470211042,15
290470211043,15
290470211044,15
290470211051,15
290470211052,15
290470211053,15
290470211054,15
290470212041,15
290470212042,15
290470212043,15
290470212044,15
290470212081,16
290470212082,15
290470212083,15
290470212084,15
290470212085,15
290470212086,15
290470212091,16
290470212092,16
290470212093,16
290470212101,16
290470212102,16
290470212103,16
290470212104,16
290470212111,16
290470212112,16
290470212121,16
290470212122,16
290470212123,16
290470212131,16
290470212132,16
290470212141,16
290470213031,16
290470213032,16
290470213033,16
290470213071,17
290470213072,16
290470213073,17
290470213074,16
290470213075,17
290470213076,16
290470213091,16
290470213092,16
290470213093,16
290470213111,16
290470213112,38
290470213121,16
290470213122,16
290470213123,16
290470213131,16
290470213132,16
290470213133,16
290470213134,16
290470213141,12
290470213142,12
290470213143,12
290470213144,12
290470214011,38
290470214012,38
290470214013,38
290470214031,17
290470214032,17
290470214041,38
290470214042,17
290470214043,17
290470216011,17
290470216012,38
290470216013,17
290470216021,38
290470216022,38
290470217011,38
290470217012,38
290470217013,38
290470217031,38
290470217032,38
290470217033,38
290470217041,38
290470217042,38
290470217043,38
290470218061,38
290470218062,8
290470218063,12
290470218071,38
290470218072,38
290470218081,38
290470218082,38
290470218083,38
290470218091,12
290470218092,12
290470218093,8
290470218101,38
290470218102,38
290470218111,38
290470218112,38
290470218121,12
290470218122,12
290470218123,12
290470219001,12
290470219002,12
290470219003,12
290470219004,12
290470220001,12
290470220002,12
290470220003,12
290470221001,18
290470221002,18
290470221003,18
290470221004,18
290470221005,18
290470221006,18
290470222001,17
290470222002,17
290470222003,17
290470223011,17
290470223012,17
290470223013,17
290470223021,17
290470223022,17
290470223023,17
290470223024,17
290499601001,8
290499601002,8
290499601003,8
290499601004,8
