GEOID20,district
29001,18
29003,12
29005,12
29007,10
29009,29
29011,31
29013,31
29015,28
29017,27
29019,19
29021,34
29023,25
29025,21
29027,10
29029,16
29031,27
29033,21
29035,25
29037,31
29039,28
29041,18
29043,20
29045,18
29047020201,17
29047020202,17
29047020300,17
29047020400,17
29047020500,17
29047020602,17
29047020603,17
29047020604,17
29047020802,17
29047020803,17
29047020901,17
29047020902,17
29047021001,17
29047021003,17
29047021004,17
29047021101,17
29047021103,17
29047021104,17
29047021105,17
29047021204,17
29047021208,17
29047021209,17
29047021210,17
29047021211,17
29047021212,17
29047021213,17
29047021214,17
29047021303,17
29047021307,17
29047021309,17
29047021311,17
29047021312,17
29047021313,17
29047021314,17
29047021401,17
29047021403,17
29047021404,17
29047021601,12
29047021602,12
29047021701,12
29047021703,12
29047021704,12
29047021806,12
29047021807,12
29047021808,17
29047021809,12
29047021810,12
29047021811,12
29047021812,12
29047021900,12
29047022000,12
29047022100,17
29047022200,17
29047022301,17
29047022302,17
29049,12
29051,6
29053,19
29055,16
29057,32
29059,28
29061,12
29063,12
29065,16
29067,33
29069,25
29071800101,26
29071800102,26
29071800103,26
29071800104,26
29071800201,26
29071800202,26
29071800301,26
29071800302,26
29071800401,26
29071800403,26
29071800404,26
29071800501,26
29071800502,26
29071800603,26
29071800604,26
29071800605,26
29071800606,26
29071800702,26
29071800703,26
29071800704,26
29071800801,26
29071800802,26
29071800901,26
29071800903,26
29071800904,26
29071801000,26
29071801101,26
29071801102,26
29073,6
29075,12
29077000101,30
29077000102,30
29077000200,30
29077000300,30
29077000400,30
29077000501,30
29077000502,30
29077000600,30
29077000700,30
29077000800,30
29077000900,30
29077001000,30
29077001100,30
29077001200,30
29077001301,30
29077001302,30
29077001401,30
29077001402,30
29077001500,30
29077001700,30
29077001800,30
29077001900,30
29077002200,30
29077002300,30
29077002402,30
29077002502,30
29077002600,30
29077002700,30
29077002800,30
29077002900,30
29077003003,30
29077003004,30
29077003100,30
29077003200,30
29077003300,30
29077003600,30
29077003701,20
29077003702,20
29077003801,20
29077003802,20
29077003900,30
