Unit 1,Unit 2,Length of shared border
291892107031,291892109122,0.249481579
291892107031,291892101011,1.949974402
291892107033,291892107031,2.421988322
291892107032,291892107031,0.241474402
291892107042,291892107031,0.717446317
291892107041,291892107031,1.071729372
291892107041,291892107031,0
291892107041,291892108072,0
291892107041,291892108061,0
291892107031,291892108072,0
291892107031,291892108061,0
291892108072,291892108061,0
291892107031,291892108072,3.218305986
291892107032,291892107042,0.669062815
291892107032,291892107033,0.786464099
291892107032,291892101011,1.559931998
291892101022,291892107032,0
291892101022,291892101011,0
291892101022,291892107022,0
291892107032,291892101011,0
291892107032,291892107022,0
291892101011,291892107022,0
291892107032,291892107022,1.027850096
291892107042,291892107041,0.220239511
291892107042,291892107022,0.125423141
291892107042,291892107043,1.075631114
291618906002,291694702861,14.63506057
291618906001,291618906002,37.47481837
291618910001,291618906002,3.484859295
290659602001,291618906002,11.33771205
290659602002,291618906002,3.317264017
290659602004,291618906002,10.97331417
291618906002,292154801022,5.865752159
292154801012,291618906002,11.05008107
292154801011,291618906002,7.203463726
291618907003,291618907001,11.76229999
291618907001,291618907002,7.589325069
291618907001,291618908004,5.581984854
291618908003,291618907001,2.980811465
291618907001,291618909003,2.443523767
291618907001,291618910004,0
291618907001,291618909003,0
291618907001,291618903013,0
291618910004,291618909003,0
291618910004,291618903013,0
291618909003,291618903013,0
291618907001,291618910004,6.014620592
291618910001,291618907001,4.389402389
291618908001,291618909002,0.298567391
291618909002,291618903022,0.787041188
291618909002,291618903021,0.872526784
291618903011,291618909002,1.585142225
291618909002,291618903013,0.163421615
291618909001,291618909002,2.214238955
291618909003,291618909001,2.371975144
291618908001,291618909001,0.331821163
291618909001,291618903013,1.227078982
292294904002,292294904004,8.359562428
292294904001,292294904004,0.283969233
292294904004,292294904003,3.761867161
292294904005,292294904004,3.413443147
291594804001,291594804003,13.65178404
291594804001,291594801002,5.928601993
291594804001,290539505005,2.78578111
291594804001,291414701003,4.211046105
291594804002,291594803003,14.88084336
291594804002,291594804004,4.804399631
291594804002,291594804003,10.95337846
291594804002,291414701003,16.66318421
291594804002,290154601002,0
291594804002,291414702001,0
291594804002,291414701003,0
290154601002,291414702001,0
290154601002,291414701003,0
291414702001,291414701003,0
291594804002,290154601002,12.13157785
291594804002,291594803003,0
291594804002,290154601002,0
291594804002,290154601001,0
291594803003,290154601002,0
291594803003,290154601001,0
290154601002,290154601001,0
291892113341,291892113332,1.4761269
291892113343,291892113332,1.224974852
291892113312,291892113332,0.918086293
291892113333,291892113332,2.091465337
290318814002,290318814003,2.318919674
290318816002,290318814003,0.371204304
290318814001,290318814003,0.835983865
291892113341,291892113331,2.88421417
291892113333,291892113331,2.29675326
291892113311,291892113331,0.428122672
291892113322,291892113331,1.13117735
291892113321,291892113331,0.392558661
291892114011,291892113331,4.408238668
295101164004,295101163021,0.293463737
295101163022,295101164004,0.138293029
295101164005,295101164004,0.424369799
295101164004,295101164003,0.501800616
295101157003,295101157002,0
295101157003,295101164004,0
295101157003,295101164003,0
295101157002,295101164004,0
295101157002,295101164003,0
295101164004,295101164003,0
295101157003,295101164004,0.386873918
295101157004,295101164004,0.078758968
295101232002,295101232001,1.142699145
295101232002,295101274003,0
295101232002,295101274002,0
295101232002,295101232001,0
295101274003,295101274002,0
295101274003,295101232001,0
295101274002,295101232001,0
295101274002,295101232001,0.855142557
295101274001,295101232001,0.204072525
295101276003,295101232001,0.970863379
295101276001,295101232001,0.2787052
295101233001,295101232001,0.679371624
295101141023,295101141013,0.260320669
295101141022,295101141013,0.120352565
295101141014,295101141013,1.343335459
295101141014,295101141012,0
295101141014,295101141011,0
295101141014,295101141013,0
295101141012,295101141011,0
295101141012,295101141013,0
295101141011,295101141013,0
295101141012,295101141013,0.377003526
295101143001,295101141013,0.440604429
295101143005,295101141013,0.437365007
295101143006,295101141013,0.436927346
295101051983,295101051984,0.474367274
295101051983,295101051981,0.457740203
295101051983,295101051982,0.992638304
291618901002,291618902005,2.008976827
291618901002,291618901004,13.51122323
291618901002,290554503012,4.6259388
291618901002,290554503011,10.46812037
291618901002,290554504011,1.879534417
291618901002,291618910002,6.791914954
291618901002,291618902004,16.23730572
291618907003,291618906003,4.990975211
291618907003,291618905003,5.153991723
291618907003,291618907002,3.924138937
291618907003,291618910001,15.58627409
291618907003,291618906001,15.366552
291618906001,291694702861,17.80484832
291618906001,291618906003,17.85176581
291618910001,291618906001,10.25362212
291618905003,291618906003,5.957395904
291618905003,291618905002,7.55032932
291618905003,291618907002,6.051645451
291618910001,291618910004,18.56952342
291618910001,290659602001,14.96779706
291618905002,291618907002,12.74520296
291618905001,291618907002,3.874283488
291618904012,291618907002,4.78074331
291618907002,291618908004,1.708521976
292294903004,292294903003,11.46625116
292294903004,292294903002,1.381385502
292294903004,292294903005,4.482496318
292294904006,292294904001,2.269008973
292294904006,292294903001,1.515728397
292154804011,292294904006,0
292154804011,292294903001,0
292154804011,292154804013,0
292294904006,292294903001,0
292294904006,292154804013,0
292294903001,292154804013,0
292294904006,292154804013,2.029786371
292294904005,292294904006,1.570281405
292294904005,292294904006,0
292294904005,292294904001,0
292294904005,292294904003,0
292294904006,292294904001,0
292294904006,292294904003,0
292294904001,292294904003,0
292294904005,292294904003,1.067415595
292294904005,292154804013,1.430354981
292294904005,292294904002,4.60816066
292294904001,292294904003,3.480360532
291892113333,291892113311,0.320551016
291892113312,291892113311,1.184054698
291892113313,291892113311,1.172852911
291892113314,291892113311,0.234868484
291892113315,291892113311,0.825408851
291892113324,291892113311,0.258172489
291892113323,291892113311,1.087024891
291892113322,291892113311,0.69360663
291892113312,291892113313,0.501518618
291892113013,291892113313,1.119064203
291892113314,291892113313,0.546261902
295101053002,295101053001,0.663103438
295101055002,295101053001,1.299906222
295101122001,295101053001,0.527503457
295101052001,295101122001,0
295101052001,295101053001,0
295101052001,295101121002,0
295101122001,295101053001,0
295101122001,295101121002,0
295101053001,295101121002,0
295101052001,295101053001,0.506139447
295101074001,295101074002,1.039888633
295101074001,295101074003,0.366810833
295101075003,295101074001,0.88891572
295101269003,295101074001,0.368876694
292294903003,292254704011,14.13149747
292294903003,292254704011,0
292294903003,292294902002,0
292294903003,292254703021,0
292254704011,292294902002,0
292254704011,292254703021,0
292294902002,292254703021,0
292294903003,292294902002,19.87535489
292294903003,292294903002,0.784705931
292294903003,292294903005,9.701853643
292294903003,290679501001,0.036401653
292294903003,290679502001,15.52848887
292294903001,292294904001,4.906710644
292294904002,292294904001,0.534449691
292254701013,292294902002,7.365976026
292294902003,292294902002,16.14939348
292294902004,292294902002,8.295284533
292294902001,292294902002,16.65483343
292294902002,292294903002,4.506919067
292254703021,292294902002,9.627153805
292294901003,292254701012,17.29309624
292294901003,291059602011,10.59836632
292294901003,291059602012,8.682596028
292294901003,292294901004,29.8071436
292294901003,292294902003,11.21580123
292294902001,292294902004,26.29248707
292294902001,292294901001,2.240301824
292294902001,292294901002,17.50732926
292294902001,292294903001,4.423234587
292294902001,292294903002,18.76142923
292294902004,292294902003,13.69245499
292294902004,292294901004,16.81680022
292294902004,292294901001,2.469943868
292294903002,292294903005,14.44642139
290679501001,292294903005,0.652688165
292294901002,292294901001,17.49549179
292154804011,292154803011,0
292154804011,292294901002,0
292154804011,292294901001,0
292154803011,292294901002,0
292154803011,292294901001,0
292294901002,292294901001,0
292154804011,292294901002,22.29193247
292294903001,292294901002,20.14357644
292294903001,292294903002,21.27575362
292154804011,292294903001,1.816008118
292294903001,292294904002,19.88765684
290679501001,292294903001,4.041311172
292294901004,292294901001,36.94568675
291059602023,292294901001,17.56194325
292154803011,292294901001,21.74873773
292294904002,292154804013,8.553048523
292294904002,290679501002,4.050447456
290679501001,292294904002,14.30171448
290679501001,292294903002,9.346146816
290510206002,290510206001,8.595199121
290190017042,290510206002,10.25255159
290510109013,290510206002,2.421821556
290510108021,290510206002,4.926211443
290510206002,290510108014,3.587136486
290510206002,290510108013,0.810360587
290510108012,290510206002,2.61987136
290510108011,290510206002,0.719413985
290510204001,290510206002,2.333630258
290510206003,290510206002,3.744601765
291892107041,291892108061,1.499367718
291892107043,291892107041,1.687919301
291892107021,291892107041,0.951625693
291892108051,291892107021,0
291892108051,291892107041,0
291892108051,291892108061,0
291892107021,291892107041,0
291892107021,291892108061,0
291892107041,291892108061,0
291892108051,291892107021,2.106156009
291892107021,291892107043,0.934987853
291892107021,291892107022,0.85013087
291892107021,291892107023,1.244875988
291892107021,291892107024,0.117528041
291892107021,291892106003,0.018560139
291892107021,291892106001,1.943670374
291892108051,291892107021,0
291892108051,291892105011,0
291892108051,291892106001,0
291892107021,291892105011,0
291892107021,291892106001,0
291892105011,291892106001,0
291892107043,291892107022,0.472183307
291892101022,291892107022,0.535964388
291892101022,291892101023,0
291892101022,291892107024,0
291892101022,291892107022,0
291892101023,291892107024,0
291892101023,291892107022,0
291892107024,291892107022,0
291892107024,291892107022,1.31785085
291892107023,291892107022,0.824841308
291892108033,291892108053,2.147579262
291892108053,291892108064,1.208464734
291892108053,291892108052,1.723918641
291892111023,291892108053,0.519653838
291892108053,291892111024,2.02370307
291892108033,291892110021,0
291892108033,291892108053,0
291892108033,291892111024,0
291892110021,291892108053,0
291892110021,291892111024,0
291892108053,291892111024,0
291892111011,291892112022,1.3328308
291892111011,291892110012,0.279135711
291892110022,291892111011,0
291892110022,291892111012,0
291892110022,291892110012,0
291892111011,291892111012,0
291892111011,291892110012,0
291892111012,291892110012,0
291892111011,291892111012,0.938584831
291892111015,291892111011,0.794499836
291892112021,291892111015,0
291892112021,291892111011,0
291892112021,291892112022,0
291892111015,291892111011,0
291892111015,291892112022,0
291892111011,291892112022,0
291892110022,291892111012,0.987853359
291892111013,291892111012,1.322685357
291892111014,291892111012,0.765787203
291892111015,291892111012,1.292314084
291892110022,291892111013,0.290184022
291892110021,291892111013,0.725348421
291892111013,291892111021,0.564964366
291892111013,291892111022,0.44918294
291892111013,291892111014,0.89726708
291892111023,291892111024,1.516960763
291892111023,291892108052,1.306621103
291892111023,291892118011,0
291892111023,291892108052,0
291892111023,291892105012,0
291892118011,291892108052,0
291892118011,291892105012,0
291892108052,291892105012,0
291892111023,291892118011,1.390830433
291892111023,291892111024,0
291892111023,291892117001,0
291892111023,291892118011,0
291892111024,291892117001,0
291892111024,291892118011,0
291892117001,291892118011,0
291892113314,291892113013,0.812524369
291892112011,291892113314,0.870608066
291892113314,291892113315,0.841227412
291892113321,291892114011,1.035828044
291892113321,291892113322,1.882084949
291892113321,291892113324,0.360906574
291892113321,291892112013,0.628187623
291892114021,291892113321,0
291892114021,291892112013,0
291892114021,291892115001,0
291892113321,291892112013,0
291892113321,291892115001,0
291892112013,291892115001,0
291892114021,291892113321,1.896381245
291892114022,291892113321,0.248212251
291892114014,291892113321,0.227082562
291892113323,291892113322,1.276128842
291892113322,291892113324,1.044582148
295101143004,295101143003,1.089477012
295101143005,295101143002,0
295101143005,295101143004,0
295101143005,295101143003,0
295101143002,295101143004,0
295101143002,295101143003,0
295101143004,295101143003,0
295101143002,295101143003,0.823319702
295101143003,295101151005,0.394303644
291892108063,291892108062,0.982930177
291892108064,291892108062,1.52999519
291892108071,291892108062,0.668171761
291892108073,291892108062,0.481151451
291892108062,291892108061,2.113070138
291892108051,291892108062,1.92015281
291892108054,291892108062,0.275898921
291892108073,291892108061,0.637719893
291892108072,291892108061,1.155327165
291892108051,291892108061,0.531962802
291892108051,291892105011,1.259909887
291892108051,291892105012,0.368088985
291892108051,291892108054,1.447927343
291892112012,291892116006,0.762241704
291892112012,291892112014,1.239112419
291892112011,291892112012,0.494633502
291892112012,291892112022,0.24722104
291892112021,291892112012,1.020835689
291892112021,291892112012,0
291892112021,291892116006,0
291892112021,291892116005,0
291892112012,291892116006,0
291892112012,291892116005,0
291892116006,291892116005,0
291892112011,291892113315,0.631545167
291892112011,291892113013,0.62246406
291892112011,291892113012,0.112969502
291892112011,291892109262,0.216714735
291892112011,291892109251,1.123957128
291892112011,291892112022,3.167082822
291892112011,291892112014,0.821718249
291892112011,291892112013,0.703428128
291892112022,291892109251,0.697285673
291892109253,291892112022,0
291892109253,291892110013,0
291892109253,291892109251,0
291892112022,291892110013,0
291892112022,291892109251,0
291892110013,291892109251,0
291892112022,291892110013,0.192281065
291892112022,291892110012,1.402582671
291892112021,291892112022,1.321968756
291892113323,291892113324,1.13397439
295101141022,295101141014,0.351418105
295101142005,295101142004,0
