GEOID20,POP20,votes_dem,votes_gop,WHITEPOP,BLACKPOP,HISPLATPOP
290019501001,1400,244.6756179,383.4515138,1314,2,14
290019501002,1411,224.5677476,371.0257177,1350,1,20
290019501003,895,138.6906023,237.2574738,865,1,11
290019502001,805,147.6044391,272.3858421,780,0,9
290019502002,753,138.0691909,254.7746348,722,2,18
290019502003,1253,226.8831841,355.0371738,1201,1,9
290019503001,706,108.4762076,146.2657906,641,4,23
290019503002,662,101.298257,124.1868908,496,81,30
290019503003,746,120.9623002,131.9515547,577,90,28
290019503004,811,128.768961,130.8731381,604,111,35
290019504001,1587,324.6881972,394.6391494,1272,160,45
290019504002,1676,320.5112007,395.002852,1417,125,41
290019504003,930,158.9742608,171.3144603,782,51,24
290019505011,1512,239.1622003,270.1485449,1282,57,40
290019505012,746,105.0958906,108.6321905,566,50,23
290019505013,1665,260.8425892,369.6145459,1507,26,42
290019505021,861,153.1522672,184.6502636,796,14,11
290019505022,943,165.3843378,153.651016,761,52,40
290019505023,1459,258.7206051,307.530652,1234,102,49
290019509001,849,135.6476293,145.1811818,715,79,24
290019509002,732,123.2097389,105.3464142,600,67,24
290019509003,568,98.50655185,76.43624224,407,67,13
290019510001,2344,247.6635804,176.420535,1954,136,88
290030101001,1757,337.5558454,503.878486,1620,8,36
290030101002,1949,374.4429953,558.9409044,1757,70,69
290030101003,1661,319.1122706,476.3472769,1548,16,33
290030101004,845,182.8333333,301.8888889,775,8,31
290030102011,882,148.1589405,227.1677705,828,6,13
290030102012,1136,190.8260277,292.5879673,1046,8,37
290030102013,1944,328.5168901,476.6477213,1848,9,47
290030102021,1150,193.1777568,296.193805,1065,8,21
290030102022,1789,302.3203853,438.6805141,1658,13,23
290030103001,845,161.5281,267.3437098,805,4,7
290030103002,1130,80.94452789,80.88857523,1074,2,26
290030104001,948,162.9788283,290.6001971,915,0,22
290030104002,809,165.5335615,268.0396413,759,2,11
290030104003,1290,277.8764996,447.9712732,1209,2,15
290059501001,676,126.1084372,205.7170448,640,1,13
290059501002,802,158.7669182,237.2900217,750,1,11
290059501003,683,111.7762392,194.5742815,644,6,13
290059501004,897,147.0049962,255.6051842,862,5,12
290059502001,897,167.3938002,262.7589508,834,7,11
290059502002,477,81.41004291,127.2927131,447,0,4
290059502003,873,161.9284556,255.4284711,831,3,9
290079501001,697,85.97387544,116.2878439,624,27,17
290079501002,2137,258.3820697,341.2547737,1859,181,51
290079501003,962,121.5800383,168.1411314,760,99,23
290079502001,840,86.87728904,138.715273,801,2,10
290079502002,532,102.1751623,163.9088515,498,2,8
290079502003,1208,218.5877456,339.1936746,1161,11,4
290079502004,567,87.32366328,148.585004,532,2,7
290079502005,1644,272.1376086,435.4979631,1522,3,37
290079503001,1534,133.6756115,235.9958771,1509,0,19
290079503002,858,113.3948127,188.9417133,770,8,39
290079503003,1242,213.2542784,352.6022422,1164,4,42
290079504001,983,120.9718086,145.3879761,837,48,32
290079504002,908,113.9678623,137.2282498,733,73,32
290079504003,829,103.9522207,127.2632349,629,126,22
290079505001,1688,224.9721102,312.4148581,1517,20,77
290079505002,740,94.91940102,118.8064223,536,74,62
290079505003,590,79.00032427,96.94545852,419,80,23
290079505004,706,122.4689974,165.3073172,575,55,38
290079506001,1031,118.7771656,154.5162212,834,91,37
290079506002,1617,286.1552356,362.4228923,1390,83,45
290079507001,786,122.8494458,150.7108305,622,64,29
290079507002,666,122.224961,154.1870361,526,51,22
290079507003,1005,171.0131469,218.5729524,881,48,15
290079507004,1192,150.1175076,188.2786651,949,155,40
290099601011,1126,209.5233882,376.7638525,1024,0,38
290099601012,1812,329.9938695,620.7254712,1709,0,41
290099601021,1026,164.4657743,260.5198287,917,4,30
290099601022,727,132.8607941,207.3312916,672,1,27
290099601023,907,188.2182567,285.4289511,823,0,20
290099602011,832,108.2884651,196.5011204,677,1,50
290099602012,1823,270.9520986,475.0308941,1505,2,132
290099602021,1151,201.1290524,361.1987934,960,3,169
290099602022,2083,302.5953534,519.087367,1589,3,435
290099603011,1007,123.3187917,175.8671309,606,2,372
290099603012,747,91.47878595,130.4595301,443,0,302
290099603013,1168,143.3992369,205.0002342,913,1,220
290099603014,818,100.1735567,142.859298,500,2,293
290099603021,1629,214.3789102,326.0113761,1138,6,223
290099603022,1397,182.4074085,275.5662545,965,2,286
290099604011,1731,219.0614104,375.545246,1533,3,63
290099604012,1206,171.5740567,305.7192471,1075,1,29
290099604013,1025,148.6473563,264.4137279,912,4,24
290099604021,1032,145.3153638,243.2419834,795,3,148
290099604022,1339,179.3899396,322.5952603,1074,33,27
290099604023,1232,166.8520948,297.5966036,1066,2,67
290099605001,1554,214.6645164,346.0560609,1413,4,36
290099605002,842,115.4187375,185.3061056,766,0,46
290099605003,1167,152.6438331,256.7588564,992,4,108
290099605004,1333,175.6608437,293.100439,1126,12,59
