GEOID20,POP20,votes_dem,votes_gop,WHITEPOP(non-Hisp),BLACKPOP,HISPLATPOP
290470212121000,0,0,0,0,0,0
290470212121001,0,0,0,0,0,0
290470212121002,33,5.36516176,5.75025716,17,0,3
290470212121003,93,15.1200013,16.2052702,85,3,3
290470212121004,991,161.117434,172.681965,815,45,63
290470212121005,112,18.2090339,19.5160243,89,4,8
290470212121006,48,7.80387165,8.36401042,32,0,9
290470212121007,70,11.3806462,12.1975152,53,6,2
290470212121008,61,9.91742023,10.6292633,46,7,2
290470212121009,72,11.7058075,12.5460156,42,10,2
290470212121010,41,6.66580704,7.1442589,31,4,5
290470212121011,66,10.7303235,11.5005143,48,4,11
290470212121012,53,8.61677495,9.23526149,41,1,1
290470212121013,35,5.69032308,6.0987576,25,9,2
290470212121014,53,8.61677495,9.23526149,29,10,5
290470212121015,43,6.99096836,7.49275933,30,1,5
290470212121016,30,4.87741978,5.22750651,20,1,4
290470212121017,48,7.80387165,8.36401042,22,9,11
290470212121018,51,8.29161363,8.88676107,39,1,4
290470212121019,58,9.42967825,10.1065126,41,4,4
290470212121020,0,0,0,0,0,0
290470212121021,116,18.8593565,20.2130252,101,1,3
290470212121022,420,68.283877,73.1850911,231,85,38
290470212121023,90,14.6322594,15.6825195,69,8,1
290470212121024,141,22.923873,24.5692806,56,55,17
290470212121025,26,4.22709715,4.53050564,13,3,2
290470212121026,14,2.27612923,2.43950304,2,3,3
290470212121027,0,0,0,0,0,0
290470213031000,0,0,0,0,0,0
290470213031001,0,0,0,0,0,0
290470213031002,0,0,0,0,0,0
290470213031003,0,0,0,0,0,0
290470213031004,12,2.33454546,2.62345191,6,0,1
290470213031005,66,12.84,14.4289855,46,3,3
290470213031006,18,3.50181818,3.93517786,4,0,11
290470213031007,98,19.0654546,21.4248573,82,0,3
290470213031008,82,15.9527273,17.9269214,74,3,4
290470213031009,75,14.5909091,16.3965744,60,3,5
290470213031010,54,10.5054545,11.8055336,44,0,0
290470213031011,72,14.0072727,15.7407115,62,0,2
290470213031012,139,27.0418182,30.388318,119,3,4
290470213031013,81,15.7581818,17.7083004,74,3,1
290470213031014,11,2.14,2.40483092,4,0,2
290470213031015,15,2.91818182,3.27931489,7,1,3
290470213031016,17,3.30727273,3.71655688,5,0,0
290470213031017,45,8.75454546,9.83794466,33,2,4
290470213031018,0,0,0,0,0,0
290470213031019,0,0,0,0,0,0
290470213031020,0,0,0,0,0,0
290470213031021,0,0,0,0,0,0
290470213031022,244,35.3030784,41.2211907,219,11,6
290470213031023,22,3.18306445,3.71666473,21,0,0
290470213031024,51,7.37892213,8.6159046,37,3,7
290470213031025,72,10.4173018,12.16363,67,0,4
290470213031026,309,44.707587,52.2022455,254,13,3
290470213031027,60,8.68108486,10.1363584,44,10,1
290470213031028,0,0,0,0,0,0
290470213031029,64,9.25982385,10.8121156,47,1,11
290470213031030,0,0,0,0,0,0
290470213031031,67,9.6938781,11.3189335,61,2,3
290470213031032,0,0,0,0,0,0
290470213031033,0,0,0,0,0,0
290470213031034,0,0,0,0,0,0
290470213031035,0,0,0,0,0,0
290470213031036,0,0,0,0,0,0
290470213031037,16,2.31495596,2.7030289,0,0,9
290470213031038,16,2.31495596,2.7030289,9,0,3
290470213031039,351,50.7843464,59.2976964,303,21,7
290470213031040,77,11.1407256,13.0083265,55,0,9
290470213031041,76,10.9960408,12.8393872,57,4,7
290470213031042,50,7.23423738,8.4469653,39,2,8
290470213031043,116,16.7834308,19.5969595,87,3,18
290470213031044,0,0,0,0,0,0
290470213031045,0,0,0,0,0,0
290470213031046,0,0,0,0,0,0
290470213031047,0,0,0,0,0,0
290470213031048,113,16.3493765,19.0901416,104,0,0
290470213031049,36,5.20865091,6.08181502,17,0,6
290470213031050,270,39.0648819,45.6136126,237,13,10
290470213123000,232,37.4876293,43.5850087,200,11,10
290470213123001,57,9.21032272,10.7083858,40,15,2
290470213123002,67,10.8261688,12.5870499,55,0,2
290470213123003,251,40.5577369,47.1544706,217,1,7
290470213123004,0,0,0,0,0,0
290470213123005,24,3.47243394,4.05454334,9,0,5
290470213123006,27,3.90648819,4.56136126,14,3,6
290470213123007,0,0,0,0,0,0
290470213123008,319,55.2346214,64.862133,288,0,12
290470213123009,27,4.67503065,5.4898984,20,2,2
290470213123010,53,9.17691203,10.7764672,41,4,4
290470213123011,66,11.4278527,13.4197517,55,0,8
290470213123012,76,13.1593455,15.4530474,57,1,9
290470213123013,95,16.4491819,19.3163092,83,4,5
