GEOID20,POP20,votes_dem,votes_gop,WHITEPOP,BLACKPOP,HISPLATPOP
29005950100,3058,543.6565908,893.1865322,2896,13,49
29005950200,2247,410.7322987,645.480135,2112,10,24
29025950100,2614,399.6517808,641.3701454,2462,12,20
29025950201,2979,375.7739038,599.2556688,2736,56,61
29025950202,3222,587.4380738,914.0837865,3053,1,70
29033960100,2225,365.3966516,590.0588124,2094,17,36
29033960200,2419,495.9445607,851.3039261,2309,20,19
29033960300,3851,641.088918,1012.408051,3541,60,77
29035960100,3256,493.4169245,960.5985586,3033,3,62
29035960200,1946,445.9719651,711.0125531,1804,10,35
29041470100,2220,403.9508131,618.1192337,2130,1,19
29041470200,2372,446.0012328,619.830002,2153,108,47
29041470300,2816,514.270724,791.1578806,2686,40,35
29045950100,1927,320.1213268,521.9333329,1845,5,5
29045950200,1936,330.2033643,428.5618138,1862,6,13
29045950300,2771,236.317021,507.0466403,2656,12,32
29047020201,5423,942.8703385,741.5967149,3163,837,689
29047020202,4867,1022.384059,942.2144676,3736,336,396
29047020300,6688,1408.982032,1333.256651,4453,798,724
29047020400,2561,498.4726297,412.5152228,1431,501,330
29047020500,6252,1319.868025,1152.551432,4075,974,651
29047020602,4417,799.9103135,609.5066554,2484,1081,491
29047020603,4196,831.3803734,806.4538066,3114,350,432
29047020604,5484,1184.786073,1040.540611,3486,876,714
29047020802,2656,603.7821088,647.6054689,2287,97,138
29047020803,2906,677.0511615,729.8676658,2341,160,213
29047020901,6107,1476.304727,1471.28999,4729,386,569
29047020902,2562,594.0523679,571.6374338,2005,136,288
29047021001,3716,757.2182963,726.3150787,2705,374,417
29047021003,4115,968.10261,903.8405916,3153,394,287
29047021004,3068,704.9543585,711.5965489,2401,170,295
29047021101,5123,1099.783982,1060.288971,3967,338,435
29047021103,3772,920.648653,901.3693106,2847,260,313
29047021104,3187,689.8565184,681.189685,2406,265,221
29047021105,3736,827.0157713,795.2350326,2730,367,318
29047021204,5679,948.0887012,782.5918527,3774,702,701
29047021208,6058,1193.667336,1041.322595,4029,1004,602
29047021209,4461,1143.72245,1186.453288,3548,307,359
29047021210,4368,859.0188683,826.5283018,3247,377,343
29047021211,2804,555.5073622,569.2696849,2214,197,210
29047021212,6754,1139.944133,1209.984588,5042,642,499
29047021213,3193,595.062514,609.7930075,1962,672,321
29047021214,1417,258.5463448,261.6647442,1099,129,94
29047021303,5065,876.7804697,1009.712835,4341,174,225
29047021307,7622,1472.764996,1455.057136,5699,648,626
29047021309,5911,1080.242531,1355.779661,5018,211,214
29047021311,2866,574.7213433,622.9378485,2293,192,211
29047021312,7620,1277.916101,1494.152268,6388,331,437
29047021313,8275,1586.096816,1733.081509,6455,482,675
29047021314,7251,1367.975564,1532.326087,5902,393,570
29047021401,4628,935.0827573,988.5207363,3920,240,219
29047021403,2995,614.6864031,633.2402038,2491,125,170
29047021404,4816,969.9744185,1046.975839,4041,261,225
29047021601,4767,1002.515465,1051.384652,3874,272,310
29047021602,3505,837.5854644,1033.904367,3146,38,98
29047021701,5379,1020.525962,1265.363155,4828,77,191
29047021703,2543,471.4606048,568.4257685,2305,36,73
29047021704,3322,582.8190868,756.4848472,2860,69,142
29047021806,4066,781.2405735,1037.518484,3683,40,157
29047021807,4233,904.0157028,1026.056668,3349,269,330
29047021808,4648,1058.215557,1199.085024,3862,278,268
29047021809,4566,974.8646462,1439.348644,4232,21,152
29047021810,3033,729.4721686,1007.913199,2756,15,120
29047021811,3537,745.9115834,1024.771041,3247,16,111
29047021812,5577,997.6718452,1406.416847,5079,27,172
29047021900,6768,1387.033613,1832.066038,6111,86,274
29047022000,6540,1287.192002,1684.260872,5950,50,209
29047022100,5343,1245.883724,957.2599192,3858,664,508
29047022200,4110,882.3175442,850.7652211,3093,220,561
29047022301,3180,748.4929361,809.6975924,2635,172,188
29047022302,5599,1316.217274,1474.774574,4870,134,364
29057480100,4621,819.1430734,1387.727542,4312,26,78
29057480200,2948,521.8438522,807.9225388,2726,10,57
29061470100,3217,524.3838469,873.5549345,3077,15,32
29061470200,5213,788.1161539,1225.167288,4900,18,81
29075960100,2848,512.1577571,812.0262674,2701,5,46
29075960200,3314,551.5089098,964.1959555,3182,10,44
29079960100,2084,341.2304813,584.1853367,2033,2,25
29079960200,2069,318.4112895,539.6944918,1957,5,37
29079960300,2244,304.383151,498.6990997,2058,20,82
29079960400,3411,561.1973006,899.865517,3177,29,97
29081950100,3169,494.1943662,941.4370769,2979,15,39
29081950200,2239,335.7243503,563.6254136,2136,10,36
29081950300,2749,389.1368395,627.3263995,2558,12,93
29085470100,2652,516.4586131,754.2150594,2476,4,46
29085470300,2234,452.6056834,686.3174483,2059,7,39
29085470501,1549,341.1658741,572.4364365,1416,4,22
29085470502,1844,370.6021335,550.2285644,1732,3,25
29087960100,1164,207.2357545,345.1234138,1107,2,23
29087960200,1379,239.3676484,386.7604373,1296,3,31
29087960300,1680,305.1278972,494.7145319,1601,5,13
29093950100,2509,395.4096134,648.5530834,2324,21,43
29093950200,2481,399.4600717,628.7404998,2250,26,72
29093950300,2686,415.7877655,632.417471,2439,52,37
29093950400,1861,332.009217,544.5111691,1676,48,25
29095000300,2087,362.9444445,236.2222222,1175,513,171
29095000600,4653,447.5876401,306.858842,1277,459,2809
29095000700,4056,437.2782293,307.8602797,1232,504,1830
29095000800,4334,499.2855153,337.9302298,1293,738,1713
29095000900,3005,357.5550703,233.9325648,1136,545,1026
29095001000,2910,413.9256783,266.9988931,862,1210,472
29095001100,2378,467.3813255,266.8441727,1660,309,254
29095001800,3161,375.837404,206.5807842,806,980,1046
29095001900,3380,297.2830762,178.2121147,778,584,1859
29095002000,2315,183.5785225,131.6602056,586,153,1611
29095002100,4470,382.446591,243.0913957,946,1111,2273
29095002200,3224,275.0097857,176.6005534,724,756,1682
29095002300,2149,282.6820773,127.0839755,491,732,1021
29095003400,3288,426.6799403,165.5993244,684,1011,1699
29095003700,1049,225.9337734,113.9013816,132,675,211
29095003800,1538,392.8516845,189.5163743,164,1187,91
29095004300,2794,735.8495225,417.907793,1630,712,199
29095004400,1495,423.4107686,250.1508221,1175,84,131
29095004600,2689,898.4930225,494.2867703,1871,326,327
29095005100,1620,448.9573228,269.5064005,1112,208,131
