Unit 1,Unit 2,Length of border
29047020201,29047020202,3.790950284
29047020201,29047020400,3.042934864
29047020201,29047020500,2.065704942
29047020201,29047022100,2.660208377
29047020202,29047020300,3.63517938
29047020202,29047020400,0.244598491
29047020202,29047021204,1.180905913
29047020202,29047022100,3.663244593
29047020202,29165,3.9301993719999997
29047020300,29047020400,3.229750662
29047020300,29047020901,1.256831091
29047020300,29047021001,2.598947278
29047020300,29047021003,0.0
29047020300,29047021004,1.493092607
29047020300,29047021204,0.407250135
29047020400,29047020500,2.78372263
29047020400,29047020604,0.0
29047020400,29047020901,2.647292784
29047020500,29047020602,2.065288779
29047020500,29047020604,1.262074587
29047020500,29047020901,0.0
29047020500,29047022100,3.163650818
29047020602,29047020604,4.330931311
29047020602,29047022100,0.887657358
29047020602,29047022200,2.565879132
29047020602,29095015500,3.944299098
29047020603,29047020604,3.563872941
29047020603,29047020803,0.563178469
29047020603,29047020901,0.648432215
29047020603,29047020902,4.698638906
29047020603,29047022200,2.484138136
29047020603,29047022302,0.562879516
29047020604,29047020901,1.48030597
29047020604,29047022200,1.689688691
29047020802,29047020803,1.530472051
29047020802,29047021307,3.307756943
29047020802,29047021309,1.372762854
29047020802,29047021403,1.075177549
29047020802,29047021404,1.392710693
29047020802,29047022302,6.735179118
29047020803,29047020902,0.955318101
29047020803,29047021307,3.801566189
29047020803,29047022302,2.540421956
29047020901,29047020902,4.184838583
29047020901,29047021003,4.136297155
29047020901,29047021004,0.0
29047020901,29047021104,0.266861642
29047020901,29047021210,1.054563052
29047020902,29047021210,2.84978768
29047020902,29047021307,0.59144774
29047021001,29047021004,1.997436807
29047021001,29047021101,2.601972771
29047021001,29047021204,2.021958496
29047021003,29047021004,1.996138252
29047021003,29047021104,2.0195821
29047021003,29047021105,0.0
29047021004,29047021101,0.329188147
29047021004,29047021104,0.0
29047021004,29047021105,1.539254334
29047021101,29047021103,1.322086644
29047021101,29047021105,2.140231665
29047021101,29047021204,0.978263128
29047021101,29047021208,3.635014248
29047021101,29047021209,0.99205254
29047021103,29047021104,1.980819321
29047021103,29047021105,1.978462484
29047021103,29047021209,3.363225007
29047021103,29047021210,3.014078226
29047021104,29047021105,1.990736624
29047021104,29047021210,1.553788297
29047021204,29047021208,1.621971661
29047021204,29165,2.989486169
29047021208,29047021209,1.666060511
29047021208,29047021211,0.0
29047021208,29047021213,1.529718701
29047021208,29047021214,1.155545518
29047021208,29165,4.001815515
29047021209,29047021210,1.712306103
29047021209,29047021211,3.089590312
29047021209,29047021212,0.970680477
29047021209,29047021213,0.0
29047021210,29047021212,3.583828018
29047021210,29047021307,3.932126894
29047021210,29047021309,0.0
29047021211,29047021212,3.690144815
29047021211,29047021213,1.975829101
29047021212,29047021213,0.959627759
29047021212,29047021303,7.873893505
29047021212,29047021307,0.0
29047021212,29047021309,3.315354586
29047021212,29047021312,0.0
29047021212,29047021313,2.968117144
29047021213,29047021214,3.330445383
29047021213,29047021313,1.055724681
29047021214,29047021313,1.999626175
29047021214,29165,3.9475989579999995
29047021303,29047021309,0.0
29047021303,29047021311,2.004728952
29047021303,29047021312,2.96082381
29047021303,29047021313,2.086031
29047021303,29047021314,2.985065791
29047021303,29047021900,5.696260721
29047021307,29047021309,5.366391875
29047021309,29047021312,5.646232845
29047021309,29047021401,0.0
29047021309,29047021404,1.781673967
29047021309,29047021808,1.701077975
29047021311,29047021312,4.053681157
29047021311,29047021807,2.391908957
29047021311,29047021808,0.31124836
29047021311,29047021900,2.028965463
29047021312,29047021808,2.800937055
29047021313,29047021314,4.689097589
29047021313,29165,2.004134423
29047021314,29047021900,4.74999541
29047021314,29165,2.482567604
29047021401,29047021403,3.214520525
29047021401,29047021404,4.580953997
29047021401,29047021602,6.693966964
29047021401,29047021808,3.651194313
29047021401,29047021811,0.351179588
29047021403,29047021404,2.40699791
29047021403,29047021601,1.751147774
29047021403,29047021602,1.701036074
29047021403,29047022301,1.497578193
29047021403,29047022302,1.14192337
29047021404,29047021808,0.0
29047021601,29047021602,7.783578302
29047021601,29047022301,2.511656556
29047021602,29047021701,3.343546988
29047021602,29047021704,11.64391843
29047021602,29047021811,15.84892524
29047021602,29047022301,2.747807949
29047021602,29095015000,19.40659901
29047021602,29095015100,10.92323394
29047021602,29177,12.09440925
29047021701,29047021703,8.141798658
29047021701,29047021704,3.102281517
29047021701,29047021806,10.27646544
29047021701,29047021811,11.28254026
29047021703,29047021704,5.039791472
29047021703,29047021806,0.625972728
29047021703,29177,5.4838400620000005
29047021704,29177,7.625236916
29047021806,29047021809,13.19671067
29047021806,29047021810,0.0
29047021806,29047021811,8.217668001
29047021806,29047021812,2.896926557
29047021806,29049,12.070910817
29047021806,29177,9.026998431
29047021807,29047021808,8.083019133
29047021807,29047021810,12.66412381
29047021807,29047021811,4.419259922
29047021807,29047021900,1.295808657
29047021808,29047021811,0.852629234
29047021809,29047021810,10.76748236
29047021809,29047021812,0.0
29047021809,29047021900,13.59392709
29047021809,29049,16.972256296
29047021810,29047021811,5.585837306
29047021810,29047021812,2.189499919
29047021810,29047021900,9.841672961
29047021811,29047021812,7.239884961
29047021900,29047022000,25.47563884
29047021900,29049,12.65366544
29047021900,29165,11.871984333
29047022000,29165,8.685961791
29047022100,29095000300,1.6336927
29047022100,29095015200,3.485678539
29047022100,29095015500,4.740963683
29047022100,29165,1.08398624
29047022200,29047022301,7.104900669
29047022200,29047022302,6.677566039
29047022200,29095011001,1.654390665
29047022200,29095011100,3.398437116
29047022200,29095015100,8.997266698
29047022200,29095015500,5.134297828
29047022301,29047022302,8.733215238
29047022301,29095015100,0.965868461
29071800101,29071800102,19.37644995
29071800101,29071800103,6.041757087
29071800101,29071800104,5.584748799
29071800101,29071800702,7.707323303
29071800101,29071800703,2.582341259
29071800102,29071800104,5.544827362
29071800102,29071800702,6.09157481
29071800102,29183312204,22.11404164
29071800102,29183980000,1.318087896
29071800102,29189221502,0.0
29071800102,29189221621,13.4579434
29071800103,29071800104,10.13624707
29071800103,29071800606,0.041022238
