GEOID20,POP20,votes_dem,votes_gop,WHITEPOP(non-Hisp),BLACKPOP,HISPLATPOP
29047020201,5423,942.8703385,741.5967149,3029,837,689
29047020202,4867,1022.384059,942.2144676,3639,336,396
29047020300,6688,1408.982032,1333.256651,4293,798,724
29047020400,2561,498.4726297,412.5152228,1358,501,330
29047020500,6252,1319.868025,1152.551432,3902,974,651
29047020602,4417,799.9103135,609.5066554,2367,1081,491
29047020603,4196,831.3803734,806.4538066,2985,350,432
29047020604,5484,1184.786073,1040.540611,3299,876,714
29047020802,2656,603.7821088,647.6054689,2233,97,138
29047020803,2906,677.0511615,729.8676658,2280,160,213
29047020901,6107,1476.304727,1471.28999,4564,386,569
29047020902,2562,594.0523679,571.6374338,1899,136,288
29047021001,3716,757.2182963,726.3150787,2577,374,417
29047021003,4115,968.10261,903.8405916,3060,394,287
29047021004,3068,704.9543585,711.5965489,2313,170,295
29047021101,5123,1099.783982,1060.288971,3851,338,435
29047021103,3772,920.648653,901.3693106,2786,260,313
29047021104,3187,689.8565184,681.189685,2344,265,221
29047021105,3736,827.0157713,795.2350326,2638,367,318
29047021204,5679,948.0887012,782.5918527,3558,702,701
29047021208,6058,1193.667336,1041.322595,3860,1004,602
29047021209,4461,1143.72245,1186.453288,3457,307,359
29047021210,4368,859.0188683,826.5283018,3144,377,343
29047021211,2804,555.5073622,569.2696849,2145,197,210
29047021212,6754,1139.944133,1209.984588,4877,642,499
29047021213,3193,595.062514,609.7930075,1877,672,321
29047021214,1417,258.5463448,261.6647442,1069,129,94
29047021303,5065,876.7804697,1009.712835,4242,174,225
29047021307,7622,1472.764996,1455.057136,5508,648,626
29047021309,5911,1080.242531,1355.779661,4955,211,214
29047021311,2866,574.7213433,622.9378485,2218,192,211
29047021312,7620,1277.916101,1494.152268,6222,331,437
29047021313,8275,1586.096816,1733.081509,6285,482,675
29047021314,7251,1367.975564,1532.326087,5722,393,570
29047021401,4628,935.0827573,988.5207363,3859,240,219
29047021403,2995,614.6864031,633.2402038,2420,125,170
29047021404,4816,969.9744185,1046.975839,3974,261,225
29047021601,4767,1002.515465,1051.384652,3786,272,310
29047021602,3505,837.5854644,1033.904367,3112,38,98
29047021701,5379,1020.525962,1265.363155,4777,77,191
29047021703,2543,471.4606048,568.4257685,2280,36,73
29047021704,3322,582.8190868,756.4848472,2816,69,142
29047021806,4066,781.2405735,1037.518484,3625,40,157
29047021807,4233,904.0157028,1026.056668,3260,269,330
29047021808,4648,1058.215557,1199.085024,3775,278,268
29047021809,4566,974.8646462,1439.348644,4183,21,152
29047021810,3033,729.4721686,1007.913199,2723,15,120
29047021811,3537,745.9115834,1024.771041,3212,16,111
29047021812,5577,997.6718452,1406.416847,5023,27,172
29047021900,6768,1387.033613,1832.066038,6041,86,274
29047022000,6540,1287.192002,1684.260872,5872,50,209
29047022100,5343,1245.883724,957.2599192,3724,664,508
29047022200,4110,882.3175442,850.7652211,2928,220,561
29047022301,3180,748.4929361,809.6975924,2586,172,188
29047022302,5599,1316.217274,1474.774574,4750,134,364
29071800101,2534,514.5526323,716.5593597,2317,35,36
29071800102,2065,490.4268291,703.314878,1869,15,62
29071800103,2224,421.9465058,609.2869253,2002,20,53
29071800104,1857,393.3317066,596.2155509,1738,4,33
29071800201,5231,974.3249673,1237.024087,4726,38,176
29071800202,6435,1253.284529,1774.260262,6003,21,123
