GEOID20,DISTRICT
29001950100,6
29001950200,6
29001950300,6
29001950400,6
29001950501,6
29001950502,6
29001950900,6
29001951000,6
29003010100,6
29003010201,6
29003010202,6
29003010300,6
29003010400,6
29005950100,6
29005950200,6
29007950100,6
29007950200,6
29007950300,6
29007950400,6
29007950500,6
29007950600,6
29007950700,6
29009960101,7
29009960102,7
29009960201,7
29009960202,7
29009960301,7
29009960302,7
29009960401,7
29009960402,7
29009960500,7
29009960600,7
29011960100,4
29011960200,4
29011960300,4
29013070100,4
29013070200,4
29013070300,4
29013070400,4
29015460100,4
29015460200,4
29015460300,4
29015460400,4
29015460701,4
29015460702,4
29015460801,4
29015460802,4
29017950100,8
29017950200,8
29017950300,8
29019000200,4
29019000300,3
29019000500,3
29019000600,3
29019000700,4
29019000900,4
29019001001,3
29019001003,3
29019001004,3
29019001105,3
29019001106,3
29019001107,3
29019001108,3
29019001109,3
29019001110,3
29019001201,3
29019001202,3
29019001300,4
29019001401,4
29019001402,4
29019001503,4
29019001505,4
29019001506,4
29019001507,4
29019001508,4
29019001602,3
29019001603,4
29019001604,4
29019001702,3
29019001703,3
29019001704,3
29019001803,4
29019001806,3
29019001807,3
29019001901,4
29019001903,4
29019001904,4
29019002000,4
29019002100,4
29019002200,3
29021000100,6
29021000200,6
29021000300,6
29021000400,6
29021000500,6
29021000600,6
29021000701,6
29021000702,6
29021000900,6
29021001000,6
29021001100,6
29021001200,6
29021001500,6
29021001600,6
29021001700,6
29021001800,6
29021002100,6
29021002200,6
29021002300,6
29021002400,6
29021002500,6
29021002700,6
29021002800,6
29021002900,6
29021003001,6
29021003002,6
29023950101,8
29023950102,8
29023950201,8
29023950202,8
29023950301,8
29023950302,8
29023950400,8
29023950500,8
29023950600,8
29023950700,8
29023950800,8
29023950900,8
29025950100,6
29025950201,6
29025950202,6
29027070100,3
29027070200,3
29027070301,3
29027070302,3
29027070400,3
29027070500,3
29027070601,3
29027070602,3
29027070701,3
29027070702,3
29027070800,3
29029950101,3
29029950102,3
29029950201,3
29029950202,3
29029950301,4
29029950302,4
29029950401,4
29029950402,4
29029950500,4
29029950600,4
29029950701,4
29029950702,4
29029950801,4
29029950802,4
29029950900,4
29029951101,3
29029951102,4
29029951201,4
29029951202,4
29031880100,8
29031880200,8
29031880300,8
29031880401,8
29031880402,8
29031880501,8
29031880502,8
29031880600,8
29031880700,8
29031880800,8
29031880900,8
29031881000,8
29031881100,8
29031881200,8
29031881301,8
29031881302,8
29031881400,8
29031881500,8
29031881600,8
29033960100,6
29033960200,6
29033960300,6
29035960100,8
29035960200,8
29037060001,4
29037060003,4
29037060004,4
29037060100,4
29037060202,4
29037060305,4
29037060306,4
29037060307,4
29037060308,4
29037060309,4
29037060401,4
29037060402,4
29037060500,4
29037060601,4
29037060602,4
29037060700,4
29037060800,4
29037060904,4
29037061001,4
29037061002,4
29037061100,4
29037061200,4
29037061300,4
29037061400,4
29039870101,4
29039870102,4
29039870200,4
29039870300,4
29041470100,6
29041470200,6
29041470300,6
29043020101,7
29043020102,7
29043020201,7
29043020202,7
29043020204,7
29043020205,7
29043020206,7
29043020207,7
29043020302,7
29043020303,7
29043020304,7
29043020307,7
29043020308,7
29043020309,7
29043020310,7
29043020401,7
29043020402,7
29043020501,7
29043020502,7
29045950100,6
29045950200,6
29045950300,6
29047020201,5
29047020202,5
29047020300,5
29047020400,5
29047020500,5
29047020602,5
29047020603,5
29047020604,5
29047020802,6
29047020803,5
29047020901,5
29047020902,5
29047021001,5
29047021003,5
29047021004,5
29047021101,5
29047021103,5
29047021104,5
29047021105,5
29047021204,5
29047021208,5
29047021209,5
29047021210,5
29047021211,5
29047021212,5
29047021213,5
29047021214,5
29047021303,5
29047021307,6
29047021309,6
29047021311,5
29047021312,6
29047021313,5
29047021314,5
29047021401,6
29047021403,6
29047021404,6
29047021601,6
29047021602,6
29047021701,6
29047021703,6
29047021704,6
29047021806,6
29047021807,6
29047021808,6
29047021809,6
29047021810,6
29047021811,6
29047021812,6
29047021900,6
29047022000,6
29047022100,5
29047022200,6
29047022301,6
29047022302,6
29049960100,6
29049960201,6
29049960202,6
29049960300,6
29049960400,6
29051010300,3
29051010401,3
29051010402,3
29051010500,3
29051010600,3
29051010701,3
29051010702,3
29051010801,3
29051010802,3
29051010901,3
29051010902,3
29051020198,3
29051020200,3
29051020300,3
29051020400,3
29051020500,3
29051020600,3
29051020700,3
29053950100,3
29053950200,3
29053950300,3
29053950400,3
29053950500,3
29055450101,3
29055450103,3
29055450104,3
29055450200,3
29055450301,3
29055450302,3
29055450401,3
29055450402,3
29057480100,4
29057480200,4
29059480100,4
29059480200,4
29059480301,4
29059480302,4
29061470100,6
29061470200,6
29063080101,6
29063080102,6
29063080200,6
29065960100,8
29065960200,8
29065960300,8
29065960400,8
29067950100,8
29067950200,8
29067950500,8
29069360100,8
29069360200,8
29069360300,8
29069360400,8
29069360500,8
29069360600,8
29069360700,8
29069360800,8
29069360900,8
29069361000,8
29071800101,2
29071800102,2
29071800103,2
29071800104,2
29071800201,2
29071800202,2
29071800301,2
29071800302,2
29071800401,2
29071800403,2
29071800404,2
29071800501,2
29071800502,2
29071800603,2
29071800604,2
29071800605,2
29071800606,2
29071800702,2
29071800703,2
29071800704,2
29071800801,2
29071800802,2
29071800901,2
29071800903,2
29071800904,2
29071801000,2
29071801101,2
29071801102,2
29073960100,3
29073960200,3
29073960300,3
29073960400,3
29073960500,3
29075960100,6
29075960200,6
29077000101,7
29077000102,7
29077000200,7
29077000300,7
29077000400,7
29077000501,7
29077000502,7
29077000600,7
29077000700,7
29077000800,7
29077000900,7
29077001000,7
29077001100,7
29077001200,7
29077001301,7
29077001302,7
29077001401,7
29077001402,7
29077001500,7
29077001700,7
29077001800,7
29077001900,7
29077002200,7
29077002300,7
29077002402,7
29077002502,7
29077002600,7
29077002700,7
29077002800,7
29077002900,7
29077003003,7
29077003004,7
29077003100,7
29077003200,7
29077003300,7
29077003600,7
29077003701,7
29077003702,7
29077003801,7
29077003802,7
29077003900,7
29077004002,7
