GEOID20,district
290950174001,51
290299511021,132
290190018071,55
290299511022,132
292114802002,7
290950174002,51
290190018072,55
292114802001,60
290950174003,28
291892143002,63
291892143003,63
290997013001,108
291892143001,63
290997013002,108
290997013003,108
290950128041,26
290950114082,22
290950128042,51
290430203103,49
290950114081,17
290430203104,49
290950128045,26
290950181012021,35
290950181012022,35
290950134183,37
290950128043,51
290950128044,26
290950181012020,35
290950134181,37
290950181012025,35
290950134182,37
290950181012026,35
290950181012023,35
290950181012024,35
290950181012029,35
290299503011,34
290299503012,34
290950181012027,35
290950181012028,35
291892216272,103
291892123001,73
291892216273,103
291892216271,103
291094702012,134
291094702013,134
291679603022,142
291094702011,134
291679603023,142
290997002101,119
291679603021,142
290997002102,119
290997002103,119
290950114051,17
290950181012030,35
290950114052,53
291574703003,149
291574703001,149
291574703002,149
290770050012,143
290770050011,143
290718005012,54
290718005013,54
290718005011,54
291892102001,66
291892102002,66
290470212121019,25
290950179001,26
290950179002,26
290950114061,17
290950128023,26
290950114064,17
290950181012000,35
290950128021,26
290950134161,37
290950179003,159
290950114062,17
290950128022,33
290950114063,17
290950179004,26
290950181012003,35
290950181012004,35
290950181012001,35
290950181012002,35
290950181012007,35
290299511011,132
290950181012008,35
290950181012005,35
290950181012006,35
290770050023,143
290770050024,143
290770050021,143
290470212121010,59
290770050022,130
290190018032,55
290470212121013,25
290190018033,5
295101193001,84
290470212121014,59
290470212121011,25
290470212121012,59
290470212121017,59
290470212121018,59
295101193002,84
290470212121015,39
290470212121016,59
295101193003,84
290430203101,49
290430203102,49
291892102003,66
291892102004,66
290950181012010,35
290950181012011,35
291219602001,50
291219602002,50
290950181012014,35
290950181012015,35
290950181012012,35
291892218003,63
290950181012013,35
291219602003,50
290318806002,115
290950181012018,35
291892218001,63
290318806003,115
290950181012019,35
291892218002,63
290950160001,36
290950181012016,35
290318806001,115
290950160002,36
291719602001,7
290950181012017,35
290190018031,55
290770032001,130
290770032002,130
290470212121020,39
290470212121021,39
290950181012009,35
291719602002,7
291833112962,89
291719602003,7
290470212121024,39
292090901021,161
290739604001,111
290770032003,130
290470212121025,59
292090901022,161
290739604002,111
290470212121022,39
290470212121023,39
291833112961,41
290470212121026,59
292090901023,161
291679603011,142
290470212121027,59
292090901024,161
291679603012,142
290910905001,127
290910905004,127
290910905002,127
290950111003,53
290910905003,127
290950111001,17
290950111002,17
290318806004,112
290318806005,115
290370607003,48
290370607001,48
290190007001,5
290370607002,48
290190007002,5
290190007003,5
290470212121008,25
290470212121009,59
295101163021,85
295101163022,85
295101163012,77
295101163013,77
290950134103,37
295101113001,99
290950134104,37
290950134101,37
290950134102,37
291879510012,148
295101113002,99
290318815004,112
290470212121002,59
291879510011,118
291833112941,41
290470212121003,59
290318815002,112
290470212121000,59
290318815003,112
290470212121001,59
290470212121006,59
290470212121007,59
291833112942,120
290470212121004,59
290470212121005,59
290950182002021,159
290950182002022,159
295101163023,85
290950182002020,159
290950182002025,159
290950182002026,159
290950182002023,159
290950182002024,159
291879510023,148
290950182002027,37
290950182002028,159
290950165002,36
291879510021,118
291879510022,118
292090901011,161
290950165001,28
292090901012,140
291754904002,50
291754904003,50
291754904001,50
290030101003,14
290030101004,14
290030101001,11
291892221003,104
290030101002,14
291892221004,103
291892221001,104
291892221002,104
295101097001,74
291019607022,129
295101097002,74
291019607023,129
291019607021,129
290398702001,62
290398702002,62
291019800001,129
291019800002,129
290398702005,62
290398702003,163
290030104002,60
290019501001,7
290398702004,62
290030104003,11
290030104001,21
290950182002000,159
290019501002,10
290019501003,10
290950182002003,159
290950182002004,159
290950182002001,159
290950182002002,159
290950009003,9
290950182002007,159
290318815001,112
290950009004,9
290950182002008,159
290950131001,30
290950009001,9
290950182002005,159
290950009002,9
290950131002,30
290950182002006,159
290950131003,30
290470216011028,18
290470216011029,18
290470216011026,18
290470216011027,18
290190022002,44
290190022003,1
290190022001,44
290190022004,44
291694705011,102
291694705012,61
290950182002010,30
290950182002011,30
290950182002014,159
290950182002015,159
290950182002012,159
290950067001,27
290950182002013,159
295101034002,65
290950067002,29
290470216011020,18
290950182002018,159
290470216011021,18
290950182002019,159
290950182002016,159
295101034001,65
290950182002017,159
290470216011024,18
290470216011025,18
290950182002009,159
290470216011022,18
290470216011023,18
290470219001068,14
290470219001069,14
290499601005,20
290997001171030,150
291494802002,56
290499601003,20
291694705021,61
291494802003,56
290499601004,20
291494802001,56
290997001171023,150
290997001171024,150
290997001171021,150
291694705022,61
290370612001,48
290997001171022,150
290370612002,48
290997001171027,150
290997001171028,150
290470216022,18
290997001171025,150
290997001171026,150
290370612003,48
290470216021,18
290370612004,48
290997001171029,150
290470216011031,18
290470216011032,18
290470219001062,14
290470216011030,18
290470219001063,14
290470219001060,14
290470219001061,14
290470219001066,14
290470216011033,18
291019607011,129
290470219001067,19
291019607012,129
290470219001064,14
290470216011006,18
290470216011007,18
290470219001065,14
290470216011004,18
290210030013,3
290470216011005,18
290210030011,3
290210030012,3
290470216011008,18
290470216011009,18
290318810001,115
291450208002,153
290318810002,115
295101122001,99
291450208003,153
295101161001,77
295101161002,77
291450208001,153
291450208004,161
291450208005,125
291950908001,57
295101161003,85
295101161004,85
290950085003,126
290950085004,126
291950908002,57
290950085001,126
291950908003,57
290950085002,126
290470219001070,14
290470219001073,14
295101054001,99
290470219001074,14
290470219001071,14
290470216011002,18
290950071001,29
290470219001072,14
290470216011003,18
290470216011000,18
290470216011001,18
290210030021,3
290950071004,29
290470219001075,14
290470216011017,18
290693609001,141
290470216011018,18
290693609002,141
290950071002,29
290470219001048,14
290470216011015,24
290470219001049,14
290470216011016,18
290950071003,29
290470219001046,14
290210030022,3
290470219001047,14
290470216011019,18
290693609003,141
291833122081,91
290997001171001,150
295101065002,99
290997001171002,150
295101065003,99
291833122071,91
290997001171000,150
291833122072,91
290997001171005,150
290997001171006,150
290997001171003,150
290997001171004,150
290997001171009,150
290997001171007,150
290997001171008,150
290470216011010,18
290470219001040,14
290470219001041,14
291869604002,149
290470216011013,24
291869604003,149
290470216011014,18
290470216011011,18
290470219001044,14
290470216011012,18
291869604001,149
290470219001045,14
295101083001,74
295101054002,99
290470219001042,14
290470219001043,14
290470219001059,14
290499601001,20
290499601002,20
290470219001057,14
295101083002,74
290470219001058,14
291833122091,91
290997001171020,150
291833122092,91
290997001171012,150
290997001171013,150
290997001171010,150
291833122082,91
290997001171011,150
291833122083,91
290997001171016,150
291594804003,38
291594804004,38
