GEOID20,DISTRICT
29001950100,18
29001950200,18
29001950300,18
29001950400,18
29001950501,18
29001950502,18
29001950900,18
29001951000,18
29003010100,12
29003010201,12
29003010202,12
29003010300,12
29003010400,12
29005950100,12
29005950200,12
29007950100,18
29007950200,18
29007950300,18
29007950400,18
29007950500,18
29007950600,18
29007950700,18
29009960101,29
29009960102,29
29009960201,29
29009960202,29
29009960301,29
29009960302,29
29009960401,29
29009960402,29
29009960500,29
29009960600,29
29011960100,20
29011960200,20
29011960300,20
29013070100,31
29013070200,31
29013070300,31
29013070400,31
29015460100,28
29015460200,28
29015460300,28
29015460400,28
29015460701,28
29015460702,28
29015460801,28
29015460802,28
29017950100,27
29017950200,27
29017950300,27
29019000200,19
29019000300,19
29019000500,19
29019000600,19
29019000700,19
29019000900,19
29019001001,19
29019001003,19
29019001004,19
29019001105,19
29019001106,19
29019001107,19
29019001108,19
29019001109,19
29019001110,19
29019001201,19
29019001202,19
29019001300,19
29019001401,19
29019001402,19
29019001503,19
29019001505,19
29019001506,19
29019001507,19
29019001508,19
29019001602,19
29019001603,19
29019001604,19
29019001702,19
29019001703,19
29019001704,19
29019001803,19
29019001806,19
29019001807,19
29019001901,19
29019001903,19
29019001904,19
29019002000,19
29019002100,19
29019002200,19
29021000100,34
29021000200,34
29021000300,34
29021000400,34
29021000500,34
29021000600,34
29021000701,34
29021000702,34
29021000900,34
29021001000,34
29021001100,34
29021001200,34
29021001500,34
29021001600,34
29021001700,34
29021001800,34
29021002100,34
29021002200,34
29021002300,34
29021002400,34
29021002500,34
29021002700,12
29021002800,12
29021002900,34
29021003001,34
29021003002,34
29023950101,25
29023950102,25
29023950201,25
29023950202,25
29023950301,25
29023950302,25
29023950400,25
29023950500,25
29023950600,25
29023950700,25
29023950800,25
29023950900,25
29025950100,12
29025950201,12
29025950202,12
29027070100,10
29027070200,10
29027070301,10
29027070302,10
29027070400,10
29027070500,10
29027070601,10
29027070602,10
29027070701,10
29027070702,10
29027070800,10
29029950101,6
29029950102,6
29029950201,6
29029950202,6
29029950301,6
29029950302,6
29029950401,6
29029950402,6
29029950500,6
29029950600,6
29029950701,6
29029950702,6
29029950801,6
29029950802,6
29029950900,6
29029951101,6
29029951102,6
29029951201,6
29029951202,6
29031880100,27
29031880200,27
29031880300,27
29031880401,27
29031880402,27
29031880501,27
29031880502,27
29031880600,27
29031880700,27
29031880800,27
29031880900,27
29031881000,27
29031881100,27
29031881200,27
29031881301,27
29031881302,27
29031881400,27
29031881500,27
29031881600,27
29033960100,12
29033960200,12
29033960300,12
29035960100,25
29035960200,25
29037060001,31
29037060003,31
29037060004,31
29037060100,31
29037060202,31
29037060305,31
29037060306,31
29037060307,31
29037060308,31
29037060309,31
29037060401,31
29037060402,31
29037060500,31
29037060601,31
29037060602,31
29037060700,31
29037060800,31
29037060904,31
29037061001,31
29037061002,31
29037061100,31
29037061200,31
29037061300,31
29037061400,31
29039870101,28
29039870102,28
29039870200,28
29039870300,28
29041470100,12
29041470200,12
29041470300,12
29043020101,29
29043020102,29
29043020201,29
29043020202,29
29043020204,29
29043020205,29
29043020206,29
29043020207,29
29043020302,29
29043020303,29
29043020304,29
29043020307,29
29043020308,29
29043020309,29
29043020310,29
29043020401,29
29043020402,29
29043020501,29
29043020502,29
29045950100,18
29045950200,18
29045950300,18
29047020201,17
29047020202,17
29047020300,17
29047020400,17
29047020500,17
29047020602,17
29047020603,17
29047020604,17
29047020802,21
29047020803,17
29047020901,17
29047020902,17
29047021001,17
29047021003,17
29047021004,17
29047021101,17
29047021103,17
29047021104,17
29047021105,17
29047021204,17
29047021208,17
29047021209,17
29047021210,17
29047021211,17
29047021212,17
29047021213,17
29047021214,17
29047021303,17
29047021307,17
29047021309,17
29047021311,17
29047021312,17
29047021313,17
29047021314,17
29047021401,21
29047021403,21
29047021404,21
29047021601,21
29047021602,21
29047021701,21
29047021703,21
29047021704,21
29047021806,21
29047021807,21
29047021808,17
29047021809,21
29047021810,21
29047021811,21
29047021812,21
29047021900,21
29047022000,21
29047022100,17
29047022200,17
29047022301,21
29047022302,17
29049960100,12
29049960201,12
29049960202,12
29049960300,12
29049960400,12
29051010300,6
29051010401,6
29051010402,6
29051010500,6
29051010600,6
29051010701,6
29051010702,6
29051010801,6
29051010802,6
29051010901,6
29051010902,6
29051020198,6
29051020200,6
29051020300,6
29051020400,6
29051020500,6
29051020600,6
29051020700,6
29053950100,21
29053950200,21
29053950300,21
29053950400,21
29053950500,21
29055450101,3
29055450103,3
29055450104,3
29055450200,3
29055450301,3
29055450302,3
29055450401,3
29055450402,3
29057480100,20
29057480200,20
29059480100,28
29059480200,28
29059480301,28
29059480302,28
29061470100,12
29061470200,12
29063080101,12
29063080102,12
29063080200,12
29065960100,16
29065960200,16
29065960300,16
29065960400,16
29067950100,33
29067950200,33
29067950500,33
29069360100,25
29069360200,25
29069360300,25
29069360400,25
29069360500,25
29069360600,25
29069360700,25
29069360800,25
29069360900,25
29069361000,25
29071800101,26
29071800102,26
29071800103,26
29071800104,26
29071800201,26
29071800202,26
29071800301,26
29071800302,26
29071800401,26
29071800403,26
29071800404,26
29071800501,26
29071800502,26
29071800603,26
29071800604,26
29071800605,26
29071800606,26
29071800702,26
29071800703,26
29071800704,26
29071800801,26
29071800802,26
29071800901,26
29071800903,26
29071800904,26
29071801000,26
29071801101,26
29071801102,26
29073960100,26
29073960200,26
29073960300,26
29073960400,26
29073960500,26
29075960100,12
29075960200,12
29077000101,30
29077000102,30
29077000200,30
29077000300,30
29077000400,30
29077000501,30
29077000502,30
29077000600,30
29077000700,30
29077000800,30
29077000900,30
29077001000,30
29077001100,30
29077001200,30
29077001301,30
29077001302,30
29077001401,30
29077001402,30
29077001500,30
29077001700,30
29077001800,30
29077001900,30
29077002200,30
29077002300,30
29077002402,30
29077002502,30
29077002600,30
29077002700,30
29077002800,30
29077002900,30
29077003003,30
29077003004,30
29077003100,30
29077003200,30
29077003300,30
29077003600,30
29077003701,20
29077003702,20
29077003801,20
29077003802,20
29077003900,30
29077004002,30
29077004003,20
29077004004,30
29077004005,30
29077004104,20
29077004105,20
29077004106,20
29077004107,20
29077004108,30
29077004109,20
29077004201,30
29077004202,30
29077004303,20
29077004304,30
29077004305,30
29077004306,30
29077004401,20
29077004402,20
29077004500,20
29077004601,20
29077004602,20
29077004700,20
29077004802,20
29077004803,20
29077004804,20
29077004805,20
29077004900,20
29077005001,20
29077005002,20
29077005100,20
29077005201,20
29077005202,20
29077005500,30
29077005600,30
