Unit 1,Unit 2,Length of shared border
29510123100,29510123200,1.003725762
29510127400,29510123200,1.788019849
29510127600,29510123200,1.249568579
29510123300,29510123200,1.441120014
29510124600,29510124100,0.440388542
29510124600,29510124300,3.043412652
29510124600,29510123300,0.172897509
29510127600,29510124600,2.32673612
29510124600,other,2.348519661
29510124600,29510115700,1.837653394
29510125500,29510127400,1.903683262
29510125500,29510127500,1.429080125
29510125500,29510125700,0.906470056
29510125500,29510125600,1.625645039
29101960301,29101980000,2.996760431
29101960701,29101980000,11.33809792
29101960702,29101980000,13.89430475
29101960900,29037060700,17.97097437
29101960900,29101960200,22.95925416
29101960302,29101960900,36.69338789
29101960301,29101960900,6.221618915
29101960702,29101960900,14.55643419
29101960900,29159480200,4.79628023
29101960900,29159480300,12.49131605
29101960900,29083950100,5.480860647
29101960900,29083950200,14.45121625
29101960900,29083950300,39.91673096
29037061200,29101960900,5.984173698
29101960200,29037060700,1.510757698
29037060500,29101960200,14.39663798
29101960200,29101960101,25.85287322
29101960302,29101960200,20.9986276
29101960600,29101960301,8.130689212
29101960600,29101960502,2.20130821
29101960600,29101960501,1.031818394
29101960600,29101960401,1.000560024
29101960600,29101960402,2.325096184
29101960600,29101960302,0.762219264
29183311422,29183311602,2.966387795
29183311500,29183311422,0.853206221
29183311422,29183312400,2.682552634
29183311422,29183311312,1.90718066
29183311422,29183311721,1.034413861
29183311733,29183311422,0
29183311733,29183311734,0
29183311733,29183311721,0
29183311422,29183311734,0
29183311422,29183311721,0
29183311734,29183311721,0
29183311422,29183311734,2.281900134
29183310903,29183311212,1.718904691
29183310903,29183312400,0.173117722
29183310802,29183310903,2.563108262
29183310700,29183310903,0.463483512
29183310903,29183310901,0.204349662
29183310902,29183310903,3.459207983
29183310902,29183310903,0
29183310902,29183312300,0
29183310902,29183311211,0
29183310903,29183312300,0
29183310903,29183311211,0
29183312300,29183311211,0
29183310903,29183312300,1.33294884
29183311322,29183311721,1.652193466
29183311322,29183311312,4.997632597
29183311322,29183311391,1.499316919
29183311331,29183311322,2.258483029
29183311322,29183311221,1.41632657
29183311322,29183311122,2.781335905
29183311103,29183311322,0
29183311103,29183311114,0
29183311103,29183311122,0
29183311322,29183311114,0
29183311322,29183311122,0
29183311114,29183311122,0
29183311322,29183311114,2.854525912
29183311322,29183311124,1.397751956
29183311740,29183311322,1.984682031
29113810307,29183312001,24.13578576
29183312001,29113810402,6.191121234
29183311500,29183312001,9.131930782
29183312001,29183311801,5.883097342
29183312095,29183312001,10.69485849
29183312094,29183312001,4.403070757
29183312096,29183312001,0.422205142
29183312001,29183312002,4.335979877
29183312001,29183312003,2.746907599
29183311802,29183312095,5.70012033
29183311802,29183311801,8.706045966
29183311802,29183311604,0
29183311802,29183311603,0
