GEOID20,POP20,votes_dem,votes_gop,WHITEPOP (non-Hisp),BLACKPOP,HISPLATPOP
29001950100,3706,607.9339678,991.7347053,3512,4,45
29001950200,2811,512.5568141,882.1976507,2684,3,36
29001950300,2925,459.5057258,533.2773742,2278,286,116
29001950400,4193,804.1736587,960.9564617,3448,336,110
29001950501,3923,605.1006801,748.3952813,3314,133,105
29001950502,3263,577.2572101,645.8319316,2746,168,100
29001950900,2149,357.3639201,326.9638382,1699,213,61
29001951000,2344,247.6635804,176.420535,1909,136,88
29003010100,6212,1213.944445,1841.055556,5648,102,169
29003010201,3962,667.5018583,996.4034591,3675,23,97
29003010202,2939,495.4981421,734.8743191,2714,21,44
29003010300,1975,242.4726279,348.232285,1860,6,33
29003010400,3047,606.3888894,1006.611112,2859,4,48
29005950100,3058,543.6565908,893.1865322,2878,13,49
29005950200,2247,410.7322987,645.480135,2105,10,24
29007950100,3796,465.9359834,625.683749,3191,307,91
29007950200,4791,767.1014688,1225.900766,4498,20,66
29007950300,3634,460.3247026,777.5398326,3417,12,100
29007950400,2720,338.8918916,409.8794608,2171,247,86
29007950500,3724,521.3608329,693.4740561,3027,229,200
29007950600,2648,404.9324012,516.9391135,2204,174,82
29007950700,3649,566.2050613,711.7494841,2942,318,106
29009960101,2938,539.5172577,997.4893237,2706,0,79
29009960102,2660,485.5448251,753.2800714,2387,5,77
29009960201,2655,379.2405637,671.5320145,2154,3,182
29009960202,3234,503.7244058,880.2861604,2433,6,604
29009960301,3740,458.3703713,654.1861932,2296,5,1187
29009960302,3026,396.7863187,601.5776306,2031,8,509
29009960401,3962,539.2828234,945.678221,3485,8,116
29009960402,3603,491.5573982,863.4338473,2895,38,242
29009960500,6150,824.2865398,1356.861338,5327,25,294
29009960600,2566,545.6339424,838.7307594,2344,8,43
29011960100,2865,495.356847,876.8057438,2468,9,70
29011960200,3804,663.2118846,1223.510702,3490,3,42
29011960300,4968,811.0174092,1387.83893,4409,20,154
29013070100,4985,963.2641524,1528.255591,4712,15,70
29013070200,4055,752.1906162,1176.377753,3734,20,67
29013070300,4470,735.1820446,1092.336956,3966,103,161
29013070400,2532,441.0298543,717.6408112,2387,17,37
29015460100,3230,167.1360497,267.8209938,3037,9,29
29015460200,2383,412.9332008,705.6012924,2228,5,41
29015460300,4603,790.9814366,1142.838798,4165,23,115
29015460400,2204,367.6498823,583.8273592,2069,5,35
29015460701,1260,256.071667,372.9592923,1170,0,22
29015460702,1611,352.9571873,490.6220054,1499,9,14
29015460801,1633,113.8061628,167.470253,1498,8,29
29015460802,2470,465.6440212,711.5400015,2268,17,25
29017950100,4115,715.6977365,1261.868097,3813,17,74
29017950200,3858,678.4064299,1195.728669,3613,12,55
29017950300,2594,465.1360439,853.9986363,2436,10,24
29019000200,1698,441.21497,266.4021521,1250,192,111
29019000300,2622,546.2058072,396.8432882,2073,89,113
29019000500,5226,794.388411,651.6539492,4119,240,245
29019000600,4558,1500.718585,1135.757514,4017,107,124
29019000700,3345,1019.958634,624.2691907,2420,463,170
29019000900,1389,304.1011616,175.5463492,760,427,68
29019001001,5042,1155.44678,800.5480594,3680,455,205
29019001003,4108,901.3587702,776.717328,2895,498,238
29019001004,4170,875.0279811,854.9980602,2950,409,420
29019001105,3350,636.0591345,429.3592581,2206,381,205
29019001106,6434,1337.109504,997.6790107,4352,789,432
29019001107,3912,990.5581844,926.0530886,3161,208,146
29019001108,2901,792.0217368,675.5724022,2348,149,121
29019001109,5811,1383.411614,1164.333407,4227,547,272
29019001110,7723,1814.853415,1846.240517,5994,427,279
29019001201,6064,1784.735638,1563.948437,4839,338,205
